,name,name:fa,name:en,description,addr:street,shop,building,geometry,lat,lon
0,ستاره شهر,,City Star Shopping Center,,,,commercial,POINT (50.00901236691125 36.272798343921174),36.272798343921174,50.00901236691125
1,برج تجارت قزوین,,Tejarat Tower of Qazvin,,,,commercial,POINT (50.00542625797568 36.2807874989621),36.2807874989621,50.00542625797568
2,مرکز خرید نارون,,Narvan Shopping Center,,,,commercial,POINT (50.01075861679613 36.28555859658717),36.28555859658717,50.01075861679613
3,مجتمع تجاری مهر و ماه,,Mehr o Mah,,,,commercial,POINT (50.00813821071502 36.274294000548025),36.274294000548025,50.00813821071502
4,مجتمع تجاری و اداری آبادگران,,Abadgaran Shopping Center,,,,commercial,POINT (50.005851323384334 36.270567884991685),36.270567884991685,50.005851323384334
5,برج خلیج فارس,,Persian Gulf Tower,,,mall,commercial,POINT (50.01352198096851 36.26791058446284),36.26791058446284,50.01352198096851
6,مجتمع تجاری البرز,,Alborz Commerical,,,,commercial,POINT (50.00881590200706 36.26885113260481),36.26885113260481,50.00881590200706
7,مرکز خرید مهستان,,Mahestan Shopping Center,,,mall,commercial,POINT (50.00132206013199 36.29809205634514),36.29809205634514,50.00132206013199
8,مجتمع تجاری پارس,,,,,mall,yes,POINT (49.991074824246276 36.306771652075575),36.306771652075575,49.991074824246276
9,پوشاک و منسوجات بازار قزوین,,Clothing and textiles section of Qazvin Bazaar,,,,,POINT (49.99833041078807 36.26978419959285),36.26978419959285,49.99833041078807
10,مجتمع نور,,Noor Complex,,,,,POINT (50.00714635225626 36.28269402954053),36.28269402954053,50.00714635225626
11,مرکز خرید داریوش,,Dariush Shopping Center,,,,,POINT (50.006736873259825 36.283288917144475),36.283288917144475,50.006736873259825
12,مجتمع تجاری الغدیر,,Alghadir Commercial Complex,,,,,POINT (50.00761886808158 36.26900948026448),36.26900948026448,50.00761886808158
13,مرکز خرید ایرانیان,,Iranian Shopping Center,,,,,POINT (50.006275917542816 36.27872711416155),36.27872711416155,50.006275917542816
