,name,name:fa,name:en,lat,lon,geometry
0,ستاره شهر,,City Star Shopping Center,36.272798343921174,50.00901236691125,POINT (50.00901236691125 36.272798343921174)
1,برج تجارت قزوین,,Tejarat Tower of Qazvin,36.2807874989621,50.00542625797568,POINT (50.00542625797568 36.2807874989621)
2,مرکز خرید نارون,,Narvan Shopping Center,36.28555859658717,50.01075861679613,POINT (50.01075861679613 36.28555859658717)
3,مجتمع تجاری مهر و ماه,,Mehr o Mah,36.274294000548025,50.00813821071502,POINT (50.00813821071502 36.274294000548025)
4,مجتمع تجاری و اداری آبادگران,,Abadgaran Shopping Center,36.270567884991685,50.005851323384334,POINT (50.005851323384334 36.270567884991685)
5,برج خلیج فارس,,Persian Gulf Tower,36.26791058446284,50.01352198096851,POINT (50.01352198096851 36.26791058446284)
6,مجتمع تجاری البرز,,Alborz Commerical,36.26885113260481,50.00881590200706,POINT (50.00881590200706 36.26885113260481)
7,مرکز خرید مهستان,,Pars Commercial Complex,36.29809205634514,50.00132206013199,POINT (50.00132206013199 36.29809205634514)
8,مجتمع تجاری پارس,,,36.306771652075575,49.991074824246276,POINT (49.991074824246276 36.306771652075575)
9,پوشاک و منسوجات بازار قزوین,,Clothing and textiles section of Qazvin Bazaar,36.26978419959285,49.99833041078807,POINT (49.99833041078807 36.26978419959285)
10,مجتمع نور,,Noor Complex,36.28269402954053,50.00714635225626,POINT (50.00714635225626 36.28269402954053)
11,مرکز خرید داریوش,,Dariush Shopping Center,36.283288917144475,50.006736873259825,POINT (50.006736873259825 36.283288917144475)
12,مجتمع تجاری الغدیر,,Alghadir Commercial Complex,36.26900948026448,50.00761886808158,POINT (50.00761886808158 36.26900948026448)
13,مرکز خرید ایرانیان,,Iranian Shopping Center,36.27872711416155,50.006275917542816,POINT (50.006275917542816 36.27872711416155)
