,name,name:fa,name:en,brand,brand:fa,brand:en,atm,building:levels,geometry,brand:wikidata,area_m2,lon,lat
0,بانک ملی,,Bank Melli Iran,بانک ملی,,Bank Melli Iran,yes,,POINT (50.0136315 36.290997100000006),Q806640,0.0,50.0136315,36.290997100000006
1,بانک مسکن,,Bank Maskan,بانک مسکن,,Bank Maskan,yes,,POINT (50.020341 36.298838599999996),Q4855942,0.0,50.020341,36.298838599999996
2,بانک سپه,,Bank Sepah,بانک سپه,,Bank Sepah,yes,,POINT (50.0128142 36.28968869999999),Q2882624,0.0,50.0128142,36.28968869999999
3,بانک ملت,,Bank Mellat,بانک ملت,,Bank Mellat,yes,,POINT (50.0124044 36.28901579999999),Q4855944,0.0,50.0124044,36.28901579999999
4,بانک صادرات,بانک صادرات,Bank Saderat Iran,بانک صادرات,بانک صادرات,Bank Saderat Iran,yes,,POINT (50.0192897 36.2974123),Q2882608,0.0,50.0192897,36.2974123
5,بانک ملت,,Bank Mellat,بانک ملت,,Bank Mellat,yes,,POINT (50.0174741 36.2954644),Q4855944,0.0,50.0174741,36.2954644
6,بانک مهر,,Mehr,,,,yes,,POINT (50.0188637 36.29683180000001),,0.0,50.0188637,36.29683180000001
7,بانک رفاه,,Refah Bank,بانک رفاه,,Refah Bank,yes,,POINT (50.0189508 36.2969425),Q7307083,0.0,50.0189508,36.2969425
8,بانک مسکن,,Bank Maskan,بانک مسکن,,Bank Maskan,yes,,POINT (50.0090602 36.284297300000006),Q4855942,0.0,50.0090602,36.284297300000006
9,بانک سپه,,Bank Sepah,بانک سپه,,Bank Sepah,yes,,POINT (50.0038568 36.2621808),Q2882624,0.0,50.0038568,36.2621808
10,بانک سپه,,Bank Sepah,بانک سپه,,Bank Sepah,yes,,POINT (50.0009069 36.2844211),Q2882624,0.0,50.0009069,36.2844211
11,بانک ملی,,Melli Bank,,,,yes,,POINT (49.9953776 36.285617),,0.0,49.9953776,36.285617
12,بانک اقتصاد نوین,,EN Bank,بانک اقتصاد نوین,,EN Bank,yes,,POINT (50.0034025 36.27052049999999),Q5323768,0.0,50.0034025,36.27052049999999
13,بانک مسکن,,Bank Maskan,بانک مسکن,,Bank Maskan,,,POINT (50.0134178 36.3091883),Q4855942,0.0,50.0134178,36.3091883
