,name,brand,lat,lon,geometry,brand_en
0,وین مارکت طلائیه,وین مارکت,36.3231819,49.9897715,POINT (49.9897715 36.3231819),Win Market
1,افق کوروش,افق کوروش,36.3092932,50.0009271,POINT (50.0009271 36.3092932),Ofoq Kourosh
2,افق کوروش,افق کوروش,36.3248614,49.9978285,POINT (49.9978285 36.3248614),Ofoq Kourosh
3,افق کوروش,افق کوروش,36.319524,49.9940724,POINT (49.9940724 36.319524),Ofoq Kourosh
4,فروشگاه وین مارکت,وین مارکت,36.2904083,50.0166162,POINT (50.0166162 36.2904083),Win Market
5,افق کوروش,افق کوروش,36.2907414,50.0173027,POINT (50.0173027 36.2907414),Ofoq Kourosh
6,دیلی مارکت,دیلی مارکت,36.2916516,50.0142234,POINT (50.0142234 36.2916516),Daily Market
7,فروشگاه مواد غذایی سورنا,سورنا,36.2953948,50.0100285,POINT (50.0100285 36.2953948),Sorena
8,دیلی مارکت بلوار,دیلی مارکت,36.2799937,50.0135276,POINT (50.0135276 36.2799937),Daily Market
9,رفاه,رفاه,36.296596464279446,49.99679056332664,POINT (49.99679056332664 36.296596464279446),Refah
10,افق کوروش,افق کوروش,36.26319546725329,50.015680748473365,POINT (50.015680748473365 36.26319546725329),Ofoq Kourosh
11,افق کوروش بلوار نخبگان(بعد از تقاطع پیروزی),افق کوروش,36.312094516138295,50.03284486119198,POINT (50.03284486119198 36.312094516138295),Ofoq Kourosh
12,افق کوروش روبروی دانشگاه رجاء,افق کوروش,36.307691529802234,50.01275128077034,POINT (50.01275128077034 36.307691529802234),Ofoq Kourosh
13,افق کوروش نوروزیان (جنوب شرقی تقاطع بلوار معلم),افق کوروش,36.300537272390024,50.01037549785913,POINT (50.01037549785913 36.300537272390024),Ofoq Kourosh
14,افق کوروش بلوار آزادگان غیاث آباد,افق کوروش,36.292770815379306,50.00468275761936,POINT (50.00468275761936 36.292770815379306),Ofoq Kourosh
15,افق کوروش خ منتظری,افق کوروش,36.2602571404413,49.99246865306318,POINT (49.99246865306318 36.2602571404413),Ofoq Kourosh
16,افق کوروش میدان عارف(روبروی پارک ملت),افق کوروش,36.2738970832101,50.01328656211024,POINT (50.01328656211024 36.2738970832101),Ofoq Kourosh
17,زنجیره ای یاس شمال شرقی میدان انقلاب,زنجیره ای یاس,36.30987342521486,50.00324635824948,POINT (50.00324635824948 36.30987342521486),Yas Chain Store
18,زنجیره ای یاس خ سعدی روبروی خ یاسین,زنجیره ای یاس,36.2766759696919,49.99813154340611,POINT (49.99813154340611 36.2766759696919),Yas Chain Store
19,حیات مارکت جنوب میدان جانبازان,حیات مارکت,36.306033337346314,50.02641259750728,POINT (50.02641259750728 36.306033337346314),Hayat Market
20,جانبو مینودر نبش خ قیام,جانبو,36.32434829139736,49.9927378868427,POINT (49.9927378868427 36.32434829139736),Janbo
21,جانبو خ پیروزی محل چهارشنبه بازار,جانبو,36.3095891754822,50.02091768786189,POINT (50.02091768786189 36.3095891754822),Janbo
22,جانبو اول خ نادری,جانبو,36.270650344041215,50.00339090119459,POINT (50.00339090119459 36.270650344041215),Janbo
23,جانبو چهارراه ولیعصر,جانبو,36.26721929615157,50.01698040920338,POINT (50.01698040920338 36.26721929615157),Janbo
24,هایپر کیپر اول خ ولایت,هایپر کیپر,36.28534973173822,50.021237418121565,POINT (50.021237418121565 36.28534973173822),Hyper Keeper
25,هفت در میدان لوازم خانگی (طفلان مسلم),هفت,36.30661818659537,49.992072865096155,POINT (49.992072865096155 36.30661818659537),Haft
26,هفت خ پیروزی نزدیک تقاطع بلوار ایران,هفت,36.31026613693417,50.025955569295064,POINT (50.025955569295064 36.31026613693417),Haft
27,هفت بلوار شهید بابایی نبش خ مهاجر,هفت,36.29622895041551,50.01840535552124,POINT (50.01840535552124 36.29622895041551),Haft
28,هفت خ سعدی روبروی خ یاسین,هفت,36.2771954739424,49.998294900407664,POINT (49.998294900407664 36.2771954739424),Haft
29,هفت بلوار حکم آباد پایین پارک ملت,هفت,36.27087204620391,50.015295435292344,POINT (50.015295435292344 36.27087204620391),Haft
30,دیلی مارکت خ بوعلی بین تقاطع با خ نادری و خ سعدی,دیلی مارکت,36.27488737831354,49.99990089855951,POINT (49.99990089855951 36.27488737831354),Daily Market
31,دیلی مارکت خ سعدی روبروی خ شیخ آباد,دیلی مارکت,36.27226273002714,49.99739785988896,POINT (49.99739785988896 36.27226273002714),Daily Market
32,دیلی مارکت خ منتظری نزدیک مسجد راه چمن,دیلی مارکت,36.25911391663924,50.00915621670778,POINT (50.00915621670778 36.25911391663924),Daily Market
33,هایپرمی میدان میرعماد,هایپرمی,36.28056650915234,50.00528194883375,POINT (50.00528194883375 36.28056650915234),HyperMe
34,وال مارکت بلوار شهیدبابایی نبش کوچه ارادت,وال مارکت,36.28943455137051,50.013088149837984,POINT (50.013088149837984 36.28943455137051),Val Market
35,اتکا بلوار حکیم کنار بوستان ارکیده,اتکا,36.31434428213309,50.01909840231114,POINT (50.01909840231114 36.31434428213309),Etka
36,اتکا بلوار شهید محلاتی,اتکا,36.30965688002388,49.99838607371852,POINT (49.99838607371852 36.30965688002388),Etka
37,اتکا میدان ارتش,اتکا,36.28016490246722,50.026132918783375,POINT (50.026132918783375 36.28016490246722),Etka
38,رفاه نوروزیان روبروی کوچه حکمت بیستم,رفاه,36.29775609399627,50.00912513813665,POINT (50.00912513813665 36.29775609399627),Refah
39,رفاه پل طالقانی,رفاه,36.26800059444825,50.01287070703323,POINT (50.01287070703323 36.26800059444825),Refah
40,سورنا خ آبگینه,سورنا,36.30810020659799,49.99420802138033,POINT (49.99420802138033 36.30810020659799),Sorena
41,سورنا بلوار ارتباطات نزدیک میدان مادر,سورنا,36.295789621627605,49.99882685749911,POINT (49.99882685749911 36.295789621627605),Sorena
42,سورنا محله توحید روبروی پارک توحید,سورنا,36.270868932570366,50.01833845143478,POINT (50.01833845143478 36.270868932570366),Sorena
43,وین مارکت خ پیروزی روبروی خ وحدت هفتم,وین مارکت,36.30998979423859,50.02400864399432,POINT (50.02400864399432 36.30998979423859),Win Market
44,وین مارکت بلوار آزادگان نبش خ ذوالقدر,وین مارکت,36.29867598658324,50.0017769819486,POINT (50.0017769819486 36.29867598658324),Win Market
45,وین مارکت خ منتظری روبروی خ سلامگاه,وین مارکت,36.25982961848631,50.00141483535036,POINT (50.00141483535036 36.25982961848631),Win Market
46,وین مارکت خ راه آهن نبش کوچه صفری,وین مارکت,36.25136041627865,50.00502796790575,POINT (50.00502796790575 36.25136041627865),Win Market
47,تعاونی مصرف فرهنگیان اول خ نادری,تعاونی مصرف فرهنگیان,36.276019017008274,50.004002163498406,POINT (50.004002163498406 36.276019017008274),Farhangian Consumer Cooperative
48,امیران در تقاطع بلوار نخبگان و خ پیروزی,امیران,36.31072331774068,50.031906199066256,POINT (50.031906199066256 36.31072331774068),Amiran
49,گندم در الهیه خ توانا,گندم,36.325930967428626,49.99916496195231,POINT (49.99916496195231 36.325930967428626),Gandom
50,مینومارت بلوار ملاصدرا,مینومارت,36.30457758385359,50.02880788978471,POINT (50.02880788978471 36.30457758385359),Minou Mart
51,هفت در خ منتظری (تهران قدیم) نزدیک هتل بیگلر بین کوچه اسوه و هدایت فر,هفت,36.2591081825302,50.00705666298046,POINT (50.00705666298046 36.2591081825302),Haft
52,هایپراستار مجتمع نیایش در چهارراه ویعصر,هایپراستار,36.266120035404185,50.02360715646819,POINT (50.02360715646819 36.266120035404185),Hyperstar
