,name,brand,geometry,lat,lon
0,وین مارکت طلائیه,وین مارکت,POINT (49.9897715 36.3231819),36.3231819,49.9897715
1,افق کوروش,افق کوروش,POINT (50.0009271 36.3092932),36.3092932,50.0009271
2,افق کوروش,افق کوروش,POINT (49.9978285 36.3248614),36.3248614,49.9978285
3,افق کوروش,افق کوروش,POINT (49.9940724 36.319524),36.319524,49.9940724
4,فروشگاه وین مارکت,وین مارکت,POINT (50.0166162 36.2904083),36.2904083,50.0166162
5,افق کوروش,افق کوروش,POINT (50.0173027 36.2907414),36.2907414,50.0173027
6,دیلی مارکت,دیلی مارکت,POINT (50.0142234 36.2916516),36.2916516,50.0142234
7,فروشگاه مواد غذایی سورنا,سورنا,POINT (50.0100285 36.2953948),36.2953948,50.0100285
8,دیلی مارکت بلوار,دیلی مارکت,POINT (50.0135276 36.2799937),36.2799937,50.0135276
9,رفاه,رفاه,POINT (49.99679056332664 36.296596464279446),36.296596464279446,49.99679056332664
10,افق کوروش,افق کوروش,POINT (50.015680748473365 36.26319546725329),36.26319546725329,50.015680748473365
11,افق کوروش بلوار نخبگان(بعد از تقاطع پیروزی),افق کوروش,POINT (50.03284486119198 36.312094516138295),36.312094516138295,50.03284486119198
12,افق کوروش روبروی دانشگاه رجاء,افق کوروش,POINT (50.01275128077034 36.307691529802234),36.307691529802234,50.01275128077034
13,افق کوروش نوروزیان (جنوب شرقی تقاطع بلوار معلم),افق کوروش,POINT (50.01037549785913 36.300537272390024),36.300537272390024,50.01037549785913
14,افق کوروش بلوار آزادگان غیاث آباد,افق کوروش,POINT (50.00468275761936 36.292770815379306),36.292770815379306,50.00468275761936
15,افق کوروش خ منتظری,افق کوروش,POINT (49.99246865306318 36.2602571404413),36.2602571404413,49.99246865306318
16,افق کوروش میدان عارف(روبروی پارک ملت),افق کوروش,POINT (50.01328656211024 36.2738970832101),36.2738970832101,50.01328656211024
17,زنجیره ای یاس شمال شرقی میدان انقلاب,زنجیره ای یاس,POINT (50.00324635824948 36.30987342521486),36.30987342521486,50.00324635824948
18,زنجیره ای یاس خ سعدی روبروی خ یاسین,زنجیره ای یاس,POINT (49.99813154340611 36.2766759696919),36.2766759696919,49.99813154340611
19,حیات مارکت جنوب میدان جانبازان,حیات مارکت,POINT (50.02641259750728 36.306033337346314),36.306033337346314,50.02641259750728
20,جانبو مینودر نبش خ قیام,جانبو,POINT (49.9927378868427 36.32434829139736),36.32434829139736,49.9927378868427
21,جانبو خ پیروزی محل چهارشنبه بازار,جانبو,POINT (50.02091768786189 36.3095891754822),36.3095891754822,50.02091768786189
22,جانبو اول خ نادری,جانبو,POINT (50.00339090119459 36.270650344041215),36.270650344041215,50.00339090119459
23,جانبو چهارراه ولیعصر,جانبو,POINT (50.01698040920338 36.26721929615157),36.26721929615157,50.01698040920338
24,هایپر کیپر اول خ ولایت,هایپر کیپر,POINT (50.021237418121565 36.28534973173822),36.28534973173822,50.021237418121565
25,هفت در میدان لوازم خانگی (طفلان مسلم),هفت,POINT (49.992072865096155 36.30661818659537),36.30661818659537,49.992072865096155
26,هفت خ پیروزی نزدیک تقاطع بلوار ایران,هفت,POINT (50.025955569295064 36.31026613693417),36.31026613693417,50.025955569295064
27,هفت بلوار شهید بابایی نبش خ مهاجر,هفت,POINT (50.01840535552124 36.29622895041551),36.29622895041551,50.01840535552124
28,هفت خ سعدی روبروی خ یاسین,هفت,POINT (49.998294900407664 36.2771954739424),36.2771954739424,49.998294900407664
29,هفت بلوار حکم آباد پایین پارک ملت,هفت,POINT (50.015295435292344 36.27087204620391),36.27087204620391,50.015295435292344
30,دیلی مارکت خ بوعلی بین تقاطع با خ نادری و خ سعدی,دیلی مارکت,POINT (49.99990089855951 36.27488737831354),36.27488737831354,49.99990089855951
31,دیلی مارکت خ سعدی روبروی خ شیخ آباد,دیلی مارکت,POINT (49.99739785988896 36.27226273002714),36.27226273002714,49.99739785988896
32,دیلی مارکت خ منتظری نزدیک مسجد راه چمن,دیلی مارکت,POINT (50.00915621670778 36.25911391663924),36.25911391663924,50.00915621670778
33,هایپرمی میدان میرعماد,هایپرمی,POINT (50.00528194883375 36.28056650915234),36.28056650915234,50.00528194883375
34,وال مارکت بلوار شهیدبابایی نبش کوچه ارادت,وال مارکت,POINT (50.013088149837984 36.28943455137051),36.28943455137051,50.013088149837984
35,اتکا بلوار حکیم کنار بوستان ارکیده,اتکا,POINT (50.01909840231114 36.31434428213309),36.31434428213309,50.01909840231114
36,اتکا بلوار شهید محلاتی,اتکا,POINT (49.99838607371852 36.30965688002388),36.30965688002388,49.99838607371852
37,اتکا میدان ارتش,اتکا,POINT (50.026132918783375 36.28016490246722),36.28016490246722,50.026132918783375
38,رفاه نوروزیان روبروی کوچه حکمت بیستم,رفاه,POINT (50.00912513813665 36.29775609399627),36.29775609399627,50.00912513813665
39,رفاه پل طالقانی,رفاه,POINT (50.01287070703323 36.26800059444825),36.26800059444825,50.01287070703323
40,سورنا خ آبگینه,سورنا,POINT (49.99420802138033 36.30810020659799),36.30810020659799,49.99420802138033
41,سورنا بلوار ارتباطات نزدیک میدان مادر,سورنا,POINT (49.99882685749911 36.295789621627605),36.295789621627605,49.99882685749911
42,سورنا محله توحید روبروی پارک توحید,سورنا,POINT (50.01833845143478 36.270868932570366),36.270868932570366,50.01833845143478
43,وین مارکت خ پیروزی روبروی خ وحدت هفتم,وین مارکت,POINT (50.02400864399432 36.30998979423859),36.30998979423859,50.02400864399432
44,وین مارکت بلوار آزادگان نبش خ ذوالقدر,وین مارکت,POINT (50.0017769819486 36.29867598658324),36.29867598658324,50.0017769819486
45,وین مارکت خ منتظری روبروی خ سلامگاه,وین مارکت,POINT (50.00141483535036 36.25982961848631),36.25982961848631,50.00141483535036
46,وین مارکت خ راه آهن نبش کوچه صفری,وین مارکت,POINT (50.00502796790575 36.25136041627865),36.25136041627865,50.00502796790575
