,name,name:fa,name:en,addr:street,lon,lat,geometry
0,کلینیک فرهنگیان,,Farhangian Clinic,عبیدزاکانی,50.0028658,36.2742393,POINT (50.0028658 36.2742393)
1,درمانگاه شبانه روزی قائم,,Ghaem Clinic,,50.0045325,36.269786,POINT (50.0045325 36.269786)
2,درمانگاه شبانه روزی بوعلی,,Boo Alii Sina Clinic,,50.0054781,36.270055,POINT (50.0054781 36.270055)
3,درمانگاه شبانه روزی امام علی,,Emam Ali Clinic 24hours,,50.0038705,36.2619818,POINT (50.0038705 36.2619818)
4,درمانگاه سینا,,Sina Clinic,,50.0128485,36.2959118,POINT (50.0128485 36.2959118)
5,درمانگاه عمومی و تخصصی هلال احمر,,Red Crescent General and Specialized Clinic,,50.0053826,36.2662683,POINT (50.0053826 36.2662683)
6,درمانگاه شبانه روزی مینودر,,24h Clinic of Minoudar,,49.9937511,36.3103122,POINT (49.9937511 36.3103122)
7,درمانگاه گوهرشاد,درمانگاه گوهرشاد - پزشکی و دندانپزشکی، لیزر، حجامت و زالو درمانی,Goharshad Clinic,بلوار سید الشهدا,49.9865971,36.3218079,POINT (49.9865971 36.3218079)
8,پارسیان,,Parsian,,50.0194321,36.2972397,POINT (50.0194321 36.2972397)
9,درمانگاههای تخصصی بیمارستان ولایت,,Specialized Clinics of Velayat Hospital,هفده شهریور,49.9967713,36.3227314,POINT (49.9967713 36.3227314)
10,درمانگاه شبانه روزی امام خمینی(ره),,Imam Khomeini Clinic,شهید محلاتی,50.0005269922016,36.30973404582389,POINT (50.0005269922016 36.30973404582389)
11,درمانگاه شبانه روزی شهید پاکروان,,Shahid Pakravan Clinic,حیدری,50.001940773920296,36.289345475371626,POINT (50.001940773920296 36.289345475371626)
12,درمانگاه امام سجاد(ع),,Imam Sajjad Clinic,حیدری,50.00181561337765,36.286534576709265,POINT (50.00181561337765 36.286534576709265)
13,مرکز خدمات جامع سلامت شماره2 (جامعه نگر),,Community health centre number2,,50.00592895789983,36.25133017901638,POINT (50.00592895789983 36.25133017901638)
14,مرکز خدمات جامع سلامت شهری شماره3 (شهدا),,Community health centre number3,,50.00381355566561,36.25971334875639,POINT (50.00381355566561 36.25971334875639)
15,درمانگاه و ساختمان پزشکان امام حسین,,Imam Hussein Clinic and Doctors Building,,50.006057618769184,36.26881975245689,POINT (50.006057618769184 36.26881975245689)
16,مرکز خدمات جامع سلامت شماره7 فردوسی,,Community health centre number7 (Ferdosi),,50.00628385629551,36.27485397824909,POINT (50.00628385629551 36.27485397824909)
17,مرکز خدمات جامع سلامت شماره6 ولیعصر,,Community health centre number6 (Valiasr),,50.01946643041136,36.26962284471234,POINT (50.01946643041136 36.26962284471234)
18,درمانگاه شبانه روزی عارف,,Aref Clinic,,50.01367823986144,36.2745171148392,POINT (50.01367823986144 36.2745171148392)
19,مرکز خدمات جامع سلامت مدنی,,Community health centre (Madani),,50.01471454821892,36.294386303500076,POINT (50.01471454821892 36.294386303500076)
20,درمانگاه تخصصی رادمهر,,Radmehr Specialized Clinic,,50.01703699212709,36.29802532963272,POINT (50.01703699212709 36.29802532963272)
21,درمانگاه رازی,,Razi Medical Clinic,,50.0184385783305,36.29715902281396,POINT (50.0184385783305 36.29715902281396)
22, (مرکز بهداشت شماره 14 پونک) مرکز بهداشت شهید بلندیان,,Shahid Bolandian Health Center,,50.02106838467555,36.30269612930395,POINT (50.02106838467555 36.30269612930395)
23,مرکز خدمات جامع سلامت شماره11 پونک,,Community health centre (Poonak number11),,50.033811704194164,36.31234883051143,POINT (50.033811704194164 36.31234883051143)
24,درمانگاه امیرالمومنین,,Amir Ol-Mo'menin Clinic,,49.99705028634133,36.324935710422025,POINT (49.99705028634133 36.324935710422025)
25,درمانگاه خیریه حاج ابوطالب تقوی و مرکز خدمات جامع سلامت شماره12,,Abotaleb Taghavi Clinic,,49.989719609509486,36.312421506231445,POINT (49.989719609509486 36.312421506231445)
26,درمانگاه شبانه روزی یاسین,,Yasin clinic,,50.01226285450064,36.30820943869798,POINT (50.01226285450064 36.30820943869798)
27,مرکز بهداشتی درمانی شماره8 امام حسین (موقوفه علیجانی),,Community health centre (Alijani number8),,49.99750014054197,36.30105592161002,POINT (49.99750014054197 36.30105592161002)
28,مرکز خدمات جامع سلامت شماره9 هادی آباد,,Community health centre (HadiAbad number9),,49.996352725075724,36.295296198875235,POINT (49.996352725075724 36.295296198875235)
29,درمانگاه شهدای ناجا,,Shohadaye Naja Clinic,,49.99332288047079,36.28093654774278,POINT (49.99332288047079 36.28093654774278)
30,مرکز خدمات جامع سلامت شماره8 نواب,,Community health centre (Navab number8),,49.99370430221846,36.275500452051986,POINT (49.99370430221846 36.275500452051986)
31,درمانگاه خیریه محمدزاده و مرکز جامع خدمات سلامت زعفرانیه,,Mohamadzadeh Clinic & Community health centre (Zaferanieh) ,,49.999294063470934,36.27647084367787,POINT (49.999294063470934 36.27647084367787)
32,مرکز جامع خدمات سلامت سعدی,,Community health centre (Sadi),,49.99690594725085,36.27170541954835,POINT (49.99690594725085 36.27170541954835)
33,مرکز جامع خدمات سلامت شماره5 محله تبریز,,Community health centre (Tabriz),,49.98941160217969,36.26479310976461,POINT (49.98941160217969 36.26479310976461)
34,درمانگاه شبانه روزی میلاد,,Milad Clinic,,50.00888397132118,36.27634573001504,POINT (50.00888397132118 36.27634573001504)
35,درمانگاه شبانه روزی مهرگان,,Mehregan Clinic,,50.01659675300677,36.29362159980404,POINT (50.01659675300677 36.29362159980404)
36,درمانگاه شبانه روزی پونک,,Poonak Clinic,,50.03273374841751,36.311927467862745,POINT (50.03273374841751 36.311927467862745)
37,درمانگاه پزشکی و ترک اعتیاد آریا,,Aria Clinic,,50.021532642325965,36.30974903535599,POINT (50.021532642325965 36.30974903535599)
38,کلینیک تخصصی محمدزاده,,Mohammadzadeh Specialized Clinic,,50.03061646313544,36.311840143788835,POINT (50.03061646313544 36.311840143788835)
