,name,name:fa,name:en,addr:street,geometry,lon,lat
0,کلینیک فرهنگیان,,Farhangian Clinic,عبیدزاکانی,POINT (50.0028658 36.2742393),50.0028658,36.2742393
1,درمانگاه شبانه روزی قائم,,Ghaem Clinic,,POINT (50.0045325 36.269786),50.0045325,36.269786
2,درمانگاه شبانه روزی بوعلی,,Boo Alii Sina Clinic,,POINT (50.0054781 36.270055),50.0054781,36.270055
3,درمانگاه شبانه روزی امام علی,,Emam Ali Clinic 24hours,,POINT (50.0038705 36.2619818),50.0038705,36.2619818
4,درمانگاه سینا,,Sina Clinic,,POINT (50.0128485 36.2959118),50.0128485,36.2959118
5,درمانگاه عمومی و تخصصی هلال احمر,,Red Crescent General and Specialized Clinic,,POINT (50.0053826 36.2662683),50.0053826,36.2662683
6,درمانگاه شبانه روزی مینودر,,24h Clinic of Minoudar,,POINT (49.9937511 36.3103122),49.9937511,36.3103122
7,درمانگاه گوهرشاد,درمانگاه گوهرشاد - پزشکی و دندانپزشکی، لیزر، حجامت و زالو درمانی,Goharshad Clinic,بلوار سید الشهدا,POINT (49.9865971 36.3218079),49.9865971,36.3218079
8,پارسیان,,Parsian,,POINT (50.0194321 36.2972397),50.0194321,36.2972397
9,درمانگاههای تخصصی بیمارستان ولایت,,Specialized Clinics of Velayat Hospital,هفده شهریور,POINT (49.9967713 36.3227314),49.9967713,36.3227314
10,درمانگاه شبانه روزی امام خمینی(ره),,Imam Khomeini Clinic,شهید محلاتی,POINT (50.0005269922016 36.30973404582389),50.0005269922016,36.30973404582389
11,درمانگاه شبانه روزی شهید پاکروان,,Shahid Pakravan Clinic,حیدری,POINT (50.001940773920296 36.289345475371626),50.001940773920296,36.289345475371626
12,درمانگاه امام سجاد(ع),,Imam Sajjad Clinic,حیدری,POINT (50.00181561337765 36.286534576709265),50.00181561337765,36.286534576709265
13,مرکز خدمات جامع سلامت شماره2 (جامعه نگر),,Community health centre No. 2,,POINT (50.00592895789983 36.25133017901638),50.00592895789983,36.25133017901638
14,مرکز خدمات جامع سلامت شهری شماره3 (شهدا),,Community health centre No. 3,,POINT (50.00381355566561 36.25971334875639),50.00381355566561,36.25971334875639
15,درمانگاه و ساختمان پزشکان امام حسین,,Imam Hussein Clinic and Doctors Building,,POINT (50.006057618769184 36.26881975245689),50.006057618769184,36.26881975245689
16,مرکز خدمات جامع سلامت شماره7 فردوسی,,Community health centre No. 7 (Ferdosi),,POINT (50.00628385629551 36.27485397824909),50.00628385629551,36.27485397824909
17,مرکز خدمات جامع سلامت شماره6 ولیعصر,,Community health centre No. 6 (Valiasr),,POINT (50.01946643041136 36.26962284471234),50.01946643041136,36.26962284471234
