,element_type,osmid,geometry,name,name:en,operator,addr:street,addr:housenumber,description,lat,lon
0,node,5020194024.0,POINT (50.0144158 36.2691757),بیمارستان کوثر,Kowsar Hospital,,کوثر,,,36.2691757,50.0144158
1,way,258606430.0,POINT (49.997641651982114 36.32359808747064),بیمارستان ولایت,Velayat Hospital,,,,,36.32359808747064,49.997641651982114
2,way,320553607.0,POINT (50.01883483114703 36.28047313917982),بیمارستان شهید رجایی,Shahid Rajayi Hospital,,,,,36.28047313917982,50.01883483114703
3,way,320561453.0,POINT (50.00513510383298 36.27487547454091),بیمارستان بوعلی سینا,Bouali Sina(Avecina) Hospital,,,,,36.27487547454091,50.00513510383298
4,way,361433491.0,POINT (50.02486872052602 36.26685493300012),بیمارستان پاستور,Pasteur Hospital,,,,,36.26685493300012,50.02486872052602
5,way,408446744.0,POINT (50.02206972983908 36.286539998955554),بیمارستان 553 ارتش (شهید بهبودی),Hospital 553 of Army (Shahid Behboudi),,,,,36.286539998955554,50.02206972983908
6,way,443105773.0,POINT (50.02503627755776 36.27589091073027),بیمارستان قدس,Qods Hospital,,,,,36.27589091073027,50.02503627755776
7,way,453412007.0,POINT (50.00691069863723 36.27504439526528),بیمارستان مهرگان,Mehregan Hospital,,,,,36.27504439526528,50.00691069863723
8,way,471734965.0,POINT (50.022688331180426 36.304265792008344),بیمارستان زکریای رازی,Zakariyaye Razi Hospital,,بلوار شهید بابایی,,,36.304265792008344,50.022688331180426
9,way,941824479.0,POINT (50.008891625145054 36.24494746290039),بیمارستان اعصاب و روان 22 بهمن, 22 Bahman Psychiatric Hospital,,پاستور,,,36.24494746290039,50.008891625145054
10,,,POINT (50.00756336058157 36.280390735676036),بیمارستان دهخدا,Dehkhoda Hospital,Private,Dehkhoda blv,,General hospital,36.280390735676036,50.00756336058157
