,name,name:fa,name:en,addr:street,geometry,religion,lon,lat
0,سجادیه,,Sajadiye Mosque,,POINT (50.0107014 36.2559632),muslim,50.0107014,36.2559632
1,حلیمه و رمیمه خاتون,,Halime khatun,,POINT (49.9989704 36.2730441),muslim,49.9989704,36.2730441
2,مسجد حضرت فاطمه زهرا,,Masjed Hazrate Fateme Zahra,,POINT (50.001296 36.2723514),muslim,50.001296,36.2723514
3,ملاباشی,,Molabashi,,POINT (50.0023421 36.2715494),muslim,50.0023421,36.2715494
4,حسینیه رضوی,,Hoseynie Razavi,,POINT (50.0000118 36.2738423),muslim,50.0000118,36.2738423
5,سوخته چنار,,Soukhte chenar Mosque,,POINT (50.0037011 36.2735336),muslim,50.0037011,36.2735336
6,مسجد ستوده,,Sotudeh Mosque,,POINT (50.0032387 36.2739138),muslim,50.0032387,36.2739138
7,آقا سید علی,,Agha seyed Ali Mosque,,POINT (49.9985316 36.2702232),muslim,49.9985316,36.2702232
8,مسجد شیشه گر,,Shishegar Mosque,بوعلی سینا,POINT (49.9985248 36.2747812),muslim,49.9985248,36.2747812
9,امامزاده علی,,Emamzadeh Ali,,POINT (50.0107462 36.2626942),muslim,50.0107462,36.2626942
10,مسجد فاطمه الزهرای پونک,,Fatemeh AlZahra Mosque,بلوار نخبگان,POINT (50.0314173 36.3109377),muslim,50.0314173,36.3109377
11,حاج موسی,,Haj Mousa,sa'adiسعدی,POINT (49.9972016 36.2713907),muslim,49.9972016,36.2713907
12,مسجد حاج کاظم,,Haj Kazem Mosque,,POINT (49.9993889 36.2764346),muslim,49.9993889,36.2764346
13,مسجد امام حسن عسگری (ع),,Imamا Hasan Asgari Mosque,بلوار رزمندگان,POINT (50.0033259 36.3091663),muslim,50.0033259,36.3091663
14,امامزاده اسماعیل,,Emamzadeh Esmaeil,,POINT (50.0023529 36.2648372),muslim,50.0023529,36.2648372
15,مسجد ثاراالله,,Sar Allah Masque,,POINT (50.0025879 36.2802969),muslim,50.0025879,36.2802969
16,امامزاده آمنه خاتون,,Ameneh Khatoon,,POINT (50.0100324 36.2654177),muslim,50.0100324,36.2654177
17,مسجد محمدیه,,Mohammadie Mosque,,POINT (50.0060046 36.2633958),muslim,50.0060046,36.2633958
18,مسجد سبز,,Sabz Mosque,,POINT (49.9952259 36.2632542),muslim,49.9952259,36.2632542
19,Station ۴,,,,POINT (49.9977193 36.2782377),muslim,49.9977193,36.2782377
20,Station ۲,,,,POINT (49.998247 36.2668964),muslim,49.998247,36.2668964
21,مسجد امام جعفر صادق,,Imam Jafar Sadegh Mosque,بلوار دانشگاه بین‌المللی امام خمینی,POINT (50.0129348 36.3104879),muslim,50.0129348,36.3104879
22,مسجد جواد الائمه,,Javad Aemmeh Mosque,,POINT (50.027772 36.3034303),muslim,50.027772,36.3034303
23,مسجد امام حسین,,Imam Hossein Mosque,,POINT (50.0123429 36.2681785),muslim,50.0123429,36.2681785
24,مسجد ابوالفضل,,Abolfazl Mosque,,POINT (50.022794 36.2723402),muslim,50.022794,36.2723402
25,مکتب الزهرا,,Maktab Zehra,,POINT (50.020388 36.2789456),,50.020388,36.2789456
26,مسجد احمد بیک,,Ahmad Beik Mosque,,POINT (49.9975522 36.2772944),muslim,49.9975522,36.2772944
27,مسجد المهدی,,Almahdi Mosque,,POINT (50.0082796 36.2718099),muslim,50.0082796,36.2718099
28,مسجد فاطمه زهرا,,Fateme Zahra Mosque,,POINT (49.9917254 36.2997626),muslim,49.9917254,36.2997626
