,name,name:fa,name:en,addr:street,geometry,amenity,building,lon,lat
0,دبستان محمد تقی نوروزی,,Mohammad Taghi Nourozi,ایرانشهر,POINT (50.0175959 36.2815241),school,,50.0175959,36.2815241
1,دبستان دخترانه الزهرا,,,,POINT (50.0049162 36.3121253),school,,50.0049162,36.3121253
2,دبیرستان رضی الوالدین - قدس,دبیرستان رضی الدین - قدس,Qods Highschool,,POINT (50.0175035 36.272091),school,,50.0175035,36.272091
3,دبیرستان استعداد های درخشان شهیدان شالباف,,استعدادهای درخشان شهیدان شالباف,عمار,POINT (50.0091546 36.3158715),school,,50.0091546,36.3158715
4,سپیده کاشانی,,Sepide Kashani,سعدی,POINT (50.0013084 36.2861883),school,,50.0013084,36.2861883
5,دبیرستان بخارایی,,Bokharaei High School,شفق,POINT (50.0067072 36.3003621),school,,50.0067072,36.3003621
6,دبیرستان توحید,,Tohid school,بلوار آیت الله مدرس,POINT (50.0118797 36.2722958),school,,50.0118797,36.2722958
7,دبیرستان غیردولتی پاسارگاد,,Pasargad High Scored,,POINT (50.0193395 36.278076),school,,50.0193395,36.278076
8,دبیرستان فرزانگان,,Farzanegan Sampad (NODET) High school,,POINT (50.0194005 36.3005204),school,,50.0194005,36.3005204
9,مدرسه ی کابل البرز,,,,POINT (49.9969512 36.3096302),school,,49.9969512,36.3096302
10,دبیرستان حضرت قاسم (ع) و خلیج فارس,,,,POINT (50.019937 36.2790822),school,,50.019937,36.2790822
11,دبیرستان پاسداران,,Pasdaran highschool,هلال احمر,POINT (50.004097 36.2677258),school,,50.004097,36.2677258
12,مدرسه علوم و معارف اسلامی صدرا ولایت,,,,POINT (50.0099848 36.3159534),school,,50.0099848,36.3159534
13,مدرسه معمارپور,,,,POINT (50.0190702 36.2698306),school,,50.0190702,36.2698306
14,دبیرستان دخترانه  ابوطالب تقوی,,,عرفان,POINT (49.9982152 36.2641238),school,,49.9982152,36.2641238
15,دبستان و پیشدبستانی خردمند,,,,POINT (50.0260964 36.3011415),school,,50.0260964,36.3011415
16,,,,,POINT (50.02271854330961 36.29564456309782),school,,50.02271854330961,36.29564456309782
17,نمونه دولتی صدیقه کبری,,,,POINT (50.01726939010974 36.2913879712246),school,,50.01726939010974,36.2913879712246
18,عرفان,,Erfan,,POINT (50.01335105279725 36.292643248443795),school,,50.01335105279725,36.292643248443795
19,هنرستان فنی خاتم الانبیا,,Khatamol anbia Technical School,,POINT (50.02206039729162 36.2990233119857),school,,50.02206039729162,36.2990233119857
20,هنرستان فنی انقلاب اسلامی,,Enghelab-e-Eslami Technical school,,POINT (50.02242525353299 36.29943185945364),school,,50.02242525353299,36.29943185945364
21,مدرسه شاهد,,Shahed,,POINT (50.01035482035401 36.290266335565974),school,,50.01035482035401,36.290266335565974
22,مدرسه شاهد,,Shahed,,POINT (50.010112680394855 36.2896240860005),school,,50.010112680394855,36.2896240860005
23,,,,,POINT (50.01342891581398 36.292712817007676),,school,50.01342891581398,36.292712817007676
24,مدرسه متوسطه دوم علامه امینی,,,,POINT (50.00797485451487 36.28293143323411),school,,50.00797485451487,36.28293143323411
25,هنرستان چمران,,Chamran,,POINT (50.000303245819666 36.27960660894157),,school,50.000303245819666,36.27960660894157
26,دبیرستان نمونه دولتی نوروزیان,,Nourozian School,خیام شمالی,POINT (50.01031786774597 36.28070837370247),school,,50.01031786774597,36.28070837370247
27,مدرسه نوروزیان,,Nourozian School Building,,POINT (50.01035934048026 36.28086415444421),,school,50.01035934048026,36.28086415444421
28,,,,,POINT (50.00684667087813 36.25721030986928),school,,50.00684667087813,36.25721030986928
29,,,,,POINT (50.00667849367664 36.25734045124426),,school,50.00667849367664,36.25734045124426
30,,,,,POINT (50.01314267622872 36.26991444647277),school,,50.01314267622872,36.26991444647277
31,مدرسه راهنمایی شاهد,,Shahed School,,POINT (50.020381900000004 36.299973949999995),school,,50.020381900000004,36.299973949999995
32,مرکز آموزشی استعداد های درخشان شهید بابایی قزوین - دوره دوم - دبیرستان,,Martyr Babayi elites Highschool,,POINT (50.02068721029788 36.30063491484705),school,,50.02068721029788,36.30063491484705
33,,,,,POINT (50.00790995379363 36.28289201721035),school,,50.00790995379363,36.28289201721035
34,مدرسه جابرابن حیان,,Jaberebn e Hayyan,,POINT (50.01898716890663 36.306814675884624),school,,50.01898716890663,36.306814675884624
35,مدرسه نجاتیه,,Nejatiye,,POINT (50.03150725321212 36.30974509105331),school,,50.03150725321212,36.30974509105331
36,,,,,POINT (50.00809737017472 36.27636648340637),,school,50.00809737017472,36.27636648340637
37,مدرسه فاطمه الزهرا,,,,POINT (50.01053259869936 36.269487179895535),school,,50.01053259869936,36.269487179895535
38,دبیرستان غیر دولتی دانشمند,,Daneshmand High School,,POINT (50.026591499999995 36.318493249999996),school,,50.026591499999995,36.318493249999996
39,دبستان زنده یاد امین رامبد,,Amin Rambood,,POINT (50.004654311048895 36.272944188803855),school,,50.004654311048895,36.272944188803855
40,,,,,POINT (49.99749335603341 36.27801983156042),,school,49.99749335603341,36.27801983156042
41,,,,,POINT (50.00437531768275 36.29646665090087),,school,50.00437531768275,36.29646665090087
42,دبستان هیئت امنایی رشادت,,Reshadat,,POINT (50.007749548531216 36.29607601674676),school,,50.007749548531216,36.29607601674676
43,,,,,POINT (50.00281168481873 36.278917912365486),school,,50.00281168481873,36.278917912365486
44,,,,,POINT (50.00235189880393 36.27908942226105),school,,50.00235189880393,36.27908942226105
45,,,,,POINT (50.02663193736761 36.311173376294306),school,,50.02663193736761,36.311173376294306
46,دبیرستان استعداد های درخشان شهید بابایی,,,,POINT (50.02662884676765 36.31058347074183),school,,50.02662884676765,36.31058347074183
47,هنرستان شهید انصاری,,,,POINT (50.010793197459876 36.25860442722818),school,yes,50.010793197459876,36.25860442722818
48,دبیرستان صدرا,,Sadra,,POINT (50.01102733117909 36.28201284493763),school,,50.01102733117909,36.28201284493763
49,دبیرستان هیت امنایی دکتر علی شریعتی,,,,POINT (49.994930262843724 36.32407224793114),school,,49.994930262843724,36.32407224793114
50,مدرسه راهنمایی تربیت,,Tarbiat,,POINT (49.99837247799202 36.292905007496294),school,,49.99837247799202,36.292905007496294
51,دبستان لوازم خانگی پارس,,,,POINT (49.98736004742065 36.309694981362235),school,,49.98736004742065,36.309694981362235
52,مدرسه استثنایی,,Exceptional Children School,,POINT (49.98564778620322 36.31038093385377),school,,49.98564778620322,36.31038093385377
53,دبستان شهیدی,,Shahidi,,POINT (50.00561691602154 36.269750985853925),school,,50.00561691602154,36.269750985853925
54,مدرسه آینده سازان نوین,,Ayande Sazan Novin,خیابان مصیب مرادی,POINT (50.0331638807306 36.316514730851296),school,,50.0331638807306,36.316514730851296
55,دبیرستان عرفان,,Erfan High School,,POINT (50.0126250164493 36.297718565239244),school,,50.0126250164493,36.297718565239244
56,دبیرستان دهخدا و فارابی,,Dehkhoda And Farabi High school,,POINT (49.99965483220331 36.272963985850154),,school,49.99965483220331,36.272963985850154
57,,,,,POINT (49.99961323230972 36.27285087200949),school,,49.99961323230972,36.27285087200949
58,دبستان شهید شیرودی و حاج سید فضل اله قوام,,Shirodi and Haj Seyed Fazlollah Ghavam,,POINT (50.008792622952264 36.272459275077225),school,,50.008792622952264,36.272459275077225
59,دبیرستان هیئت امنایی شیخ طوسی و کلینی,,Sheykh e Toosi and Kalini,,POINT (50.00908548687528 36.27236155454364),school,,50.00908548687528,36.27236155454364
60,,,,,POINT (50.00665875760935 36.26628477909649),school,,50.00665875760935,36.26628477909649
61,مدرسه عبداللهی,,Abdollahi School,,POINT (50.017588600710745 36.307529027045916),school,,50.017588600710745,36.307529027045916
62,مدرسه سعادت,,Sa'adat School,,POINT (50.01745225660124 36.30714208327217),school,,50.01745225660124,36.30714208327217
63,دبستان ولیعصر,,Valiasr,,POINT (50.014205574357746 36.267884194263765),school,,50.014205574357746,36.267884194263765
64,دبیرستان نمونه دولتی اقمشه,,Aghmashe High School,,POINT (50.02102600103047 36.27247475945987),school,,50.02102600103047,36.27247475945987
65,,,,,POINT (50.00232453772568 36.2813816072953),school,,50.00232453772568,36.2813816072953
66,مدرسه صادقین,,,,POINT (50.00048604320942 36.2951062296961),,school,50.00048604320942,36.2951062296961
67,مدرسه عبادی,,,,POINT (50.00136720006475 36.29521974834946),,school,50.00136720006475,36.29521974834946
68,مدرسه همت,,Hemmat School,,POINT (50.002068411904624 36.2809981655661),school,,50.002068411904624,36.2809981655661
69,مدرسه ابتدایی رضا دشتی,,,,POINT (50.011949619149235 36.25658940013716),,school,50.011949619149235,36.25658940013716
70,,,,,POINT (50.016063176827984 36.31040373061456),school,,50.016063176827984,36.31040373061456
71,دبیرستان زنده یاد مجابی,,,,POINT (49.994464324535436 36.324058511927355),school,,49.994464324535436,36.324058511927355
72,دبیرستان دخترانه اندیشه سبز,,,,POINT (49.993341146623465 36.31114612469627),school,,49.993341146623465,36.31114612469627
73,,,,,POINT (49.99762436828784 36.29249584350616),school,,49.99762436828784,36.29249584350616
74,,,,,POINT (49.99827995124865 36.2937432899132),school,,49.99827995124865,36.2937432899132
75,,,,,POINT (49.998614735161375 36.293390815266214),school,,49.998614735161375,36.293390815266214
76,,,,,POINT (49.99333212990178 36.31157778300522),school,,49.99333212990178,36.31157778300522
77,دبیرستان دخترانه متانت,,,,POINT (49.99333868397136 36.312183523176394),school,,49.99333868397136,36.312183523176394
78,دبیرستان علامه جعفری,,Allame Jafari High school,,POINT (49.99105662143082 36.320292821647456),school,,49.99105662143082,36.320292821647456
79,دبیرستان سعادت,,,,POINT (50.02370248940181 36.29481388166954),school,,50.02370248940181,36.29481388166954
80,دبیرستان ایران دخت,,,,POINT (50.0227237247667 36.27309707256465),school,,50.0227237247667,36.27309707256465
81,,,,,POINT (50.00846476369865 36.27621931732798),,school,50.00846476369865,36.27621931732798
