from_id,to_id,travel_time
22,City Star Shopping Center,37
22,Tejarat Tower of Qazvin,36
22,Narvan Shopping Center,24
22,Mehr o Mah,38
22,Abadgaran Shopping Center,39
22,Persian Gulf Tower,32
22,Alborz Commerical,38
22,Pars Commercial Complex,30
22,,46
22,Clothing and textiles section of Qazvin Bazaar,39
22,Noor Complex,32
22,Dariush Shopping Center,33
22,Alghadir Commercial Complex,38
22,Iranian Shopping Center,39
31,City Star Shopping Center,38
31,Tejarat Tower of Qazvin,41
31,Narvan Shopping Center,45
31,Mehr o Mah,41
31,Abadgaran Shopping Center,29
31,Persian Gulf Tower,33
31,Alborz Commerical,33
31,Pars Commercial Complex,50
31,,66
31,Clothing and textiles section of Qazvin Bazaar,36
31,Noor Complex,47
31,Dariush Shopping Center,46
31,Alghadir Commercial Complex,32
31,Iranian Shopping Center,43
32,City Star Shopping Center,38
32,Tejarat Tower of Qazvin,41
32,Narvan Shopping Center,45
32,Mehr o Mah,41
32,Abadgaran Shopping Center,29
32,Persian Gulf Tower,33
32,Alborz Commerical,33
32,Pars Commercial Complex,50
32,,64
32,Clothing and textiles section of Qazvin Bazaar,36
32,Noor Complex,47
32,Dariush Shopping Center,46
32,Alghadir Commercial Complex,32
32,Iranian Shopping Center,43
33,City Star Shopping Center,41
33,Tejarat Tower of Qazvin,44
33,Narvan Shopping Center,50
33,Mehr o Mah,44
33,Abadgaran Shopping Center,32
33,Persian Gulf Tower,38
33,Alborz Commerical,36
33,Pars Commercial Complex,56
33,,64
33,Clothing and textiles section of Qazvin Bazaar,39
33,Noor Complex,50
33,Dariush Shopping Center,49
33,Alghadir Commercial Complex,35
33,Iranian Shopping Center,46
36,City Star Shopping Center,36
36,Tejarat Tower of Qazvin,39
36,Narvan Shopping Center,37
36,Mehr o Mah,39
36,Abadgaran Shopping Center,27
36,Persian Gulf Tower,26
36,Alborz Commerical,28
36,Pars Commercial Complex,45
36,,58
36,Clothing and textiles section of Qazvin Bazaar,34
36,Noor Complex,39
36,Dariush Shopping Center,40
36,Alghadir Commercial Complex,29
36,Iranian Shopping Center,41
37,City Star Shopping Center,31
37,Tejarat Tower of Qazvin,34
37,Narvan Shopping Center,40
37,Mehr o Mah,34
37,Abadgaran Shopping Center,22
37,Persian Gulf Tower,28
37,Alborz Commerical,26
37,Pars Commercial Complex,46
37,,55
