from_id,to_id,travel_time
22,Bano Cultural Center,26
22,Pardis Cultural Center,39
22,HadiAbad Cultural Center,46
22,Navab Safavi Cultural center & Library,34
22,Rose Cultural center,50
22,Mohamadieh Cultural center & Library,45
22,Specialized Family Cultural Center (Montazeri),55
31,Bano Cultural Center,46
31,Pardis Cultural Center,60
31,HadiAbad Cultural Center,63
31,Navab Safavi Cultural center & Library,49
31,Rose Cultural center,8
31,Mohamadieh Cultural center & Library,25
31,Specialized Family Cultural Center (Montazeri),38
32,Bano Cultural Center,46
32,Pardis Cultural Center,60
32,HadiAbad Cultural Center,61
32,Navab Safavi Cultural center & Library,48
32,Rose Cultural center,12
32,Mohamadieh Cultural center & Library,25
32,Specialized Family Cultural Center (Montazeri),36
33,Bano Cultural Center,51
33,Pardis Cultural Center,65
33,HadiAbad Cultural Center,56
33,Navab Safavi Cultural center & Library,47
33,Rose Cultural center,18
33,Mohamadieh Cultural center & Library,26
33,Specialized Family Cultural Center (Montazeri),28
36,Bano Cultural Center,37
36,Pardis Cultural Center,50
36,HadiAbad Cultural Center,53
36,Navab Safavi Cultural center & Library,45
36,Rose Cultural center,22
36,Mohamadieh Cultural center & Library,18
36,Specialized Family Cultural Center (Montazeri),31
37,Bano Cultural Center,41
37,Pardis Cultural Center,55
37,HadiAbad Cultural Center,48
37,Navab Safavi Cultural center & Library,39
37,Rose Cultural center,16
37,Mohamadieh Cultural center & Library,16
37,Specialized Family Cultural Center (Montazeri),23
38,Bano Cultural Center,40
38,Pardis Cultural Center,54
38,HadiAbad Cultural Center,44
38,Navab Safavi Cultural center & Library,35
38,Rose Cultural center,26
38,Mohamadieh Cultural center & Library,18
38,Specialized Family Cultural Center (Montazeri),15
39,Bano Cultural Center,39
39,Pardis Cultural Center,55
39,HadiAbad Cultural Center,40
39,Navab Safavi Cultural center & Library,31
39,Rose Cultural center,35
39,Mohamadieh Cultural center & Library,23
39,Specialized Family Cultural Center (Montazeri),7
40,Bano Cultural Center,45
40,Pardis Cultural Center,63
40,HadiAbad Cultural Center,44
40,Navab Safavi Cultural center & Library,35
40,Rose Cultural center,44
40,Mohamadieh Cultural center & Library,31
40,Specialized Family Cultural Center (Montazeri),16
41,Bano Cultural Center,35
41,Pardis Cultural Center,48
41,HadiAbad Cultural Center,52
41,Navab Safavi Cultural center & Library,43
41,Rose Cultural center,24
41,Mohamadieh Cultural center & Library,11
41,Specialized Family Cultural Center (Montazeri),31
42,Bano Cultural Center,40
42,Pardis Cultural Center,54
42,HadiAbad Cultural Center,45
42,Navab Safavi Cultural center & Library,35
42,Rose Cultural center,25
42,Mohamadieh Cultural center & Library,15
42,Specialized Family Cultural Center (Montazeri),13
44,Bano Cultural Center,42
44,Pardis Cultural Center,59
44,HadiAbad Cultural Center,42
44,Navab Safavi Cultural center & Library,32
44,Rose Cultural center,38
44,Mohamadieh Cultural center & Library,26
44,Specialized Family Cultural Center (Montazeri),4
45,Bano Cultural Center,27
45,Pardis Cultural Center,40
45,HadiAbad Cultural Center,45
45,Navab Safavi Cultural center & Library,37
45,Rose Cultural center,25
45,Mohamadieh Cultural center & Library,16
45,Specialized Family Cultural Center (Montazeri),36
46,Bano Cultural Center,30
46,Pardis Cultural Center,43
46,HadiAbad Cultural Center,49
46,Navab Safavi Cultural center & Library,42
46,Rose Cultural center,36
46,Mohamadieh Cultural center & Library,29
46,Specialized Family Cultural Center (Montazeri),47
47,Bano Cultural Center,38
47,Pardis Cultural Center,52
47,HadiAbad Cultural Center,50
47,Navab Safavi Cultural center & Library,40
47,Rose Cultural center,30
47,Mohamadieh Cultural center & Library,8
47,Specialized Family Cultural Center (Montazeri),30
48,Bano Cultural Center,28
48,Pardis Cultural Center,42
48,HadiAbad Cultural Center,40
48,Navab Safavi Cultural center & Library,29
48,Rose Cultural center,26
48,Mohamadieh Cultural center & Library,16
48,Specialized Family Cultural Center (Montazeri),27
49,Bano Cultural Center,33
49,Pardis Cultural Center,48
49,HadiAbad Cultural Center,36
49,Navab Safavi Cultural center & Library,25
49,Rose Cultural center,28
49,Mohamadieh Cultural center & Library,14
49,Specialized Family Cultural Center (Montazeri),21
50,Bano Cultural Center,35
50,Pardis Cultural Center,49
50,HadiAbad Cultural Center,47
50,Navab Safavi Cultural center & Library,37
50,Rose Cultural center,30
50,Mohamadieh Cultural center & Library,18
50,Specialized Family Cultural Center (Montazeri),35
51,Bano Cultural Center,28
51,Pardis Cultural Center,42
51,HadiAbad Cultural Center,42
51,Navab Safavi Cultural center & Library,31
51,Rose Cultural center,28
51,Mohamadieh Cultural center & Library,16
51,Specialized Family Cultural Center (Montazeri),26
52,Bano Cultural Center,36
52,Pardis Cultural Center,57
52,HadiAbad Cultural Center,34
52,Navab Safavi Cultural center & Library,20
52,Rose Cultural center,39
52,Mohamadieh Cultural center & Library,25
52,Specialized Family Cultural Center (Montazeri),17
53,Bano Cultural Center,43
53,Pardis Cultural Center,63
53,HadiAbad Cultural Center,39
53,Navab Safavi Cultural center & Library,30
53,Rose Cultural center,44
53,Mohamadieh Cultural center & Library,31
53,Specialized Family Cultural Center (Montazeri),19
54,Bano Cultural Center,24
54,Pardis Cultural Center,37
54,HadiAbad Cultural Center,41
54,Navab Safavi Cultural center & Library,33
54,Rose Cultural center,37
54,Mohamadieh Cultural center & Library,32
54,Specialized Family Cultural Center (Montazeri),48
55,Bano Cultural Center,36
55,Pardis Cultural Center,50
55,HadiAbad Cultural Center,44
55,Navab Safavi Cultural center & Library,29
55,Rose Cultural center,37
55,Mohamadieh Cultural center & Library,29
55,Specialized Family Cultural Center (Montazeri),40
56,Bano Cultural Center,31
56,Pardis Cultural Center,45
56,HadiAbad Cultural Center,42
56,Navab Safavi Cultural center & Library,28
56,Rose Cultural center,32
56,Mohamadieh Cultural center & Library,20
56,Specialized Family Cultural Center (Montazeri),30
57,Bano Cultural Center,34
57,Pardis Cultural Center,48
