from_id,to_id,travel_time
22,Sepah Market,44
22,Mahdiye Market,37
22,Qazvin Central Fruit and Vegetable Market,64
22,Minoudar Fruit and Vegetable Market,33
22,Qazvin Bazar fruits part,39
22,SayyadShirazi Barekat market,52
22,Caspian (Elahieh) Barekat market,47
31,Sepah Market,21
31,Mahdiye Market,60
31,Qazvin Central Fruit and Vegetable Market,42
31,Minoudar Fruit and Vegetable Market,53
31,Qazvin Bazar fruits part,37
31,SayyadShirazi Barekat market,72
31,Caspian (Elahieh) Barekat market,67
32,Sepah Market,21
32,Mahdiye Market,60
32,Qazvin Central Fruit and Vegetable Market,35
32,Minoudar Fruit and Vegetable Market,53
32,Qazvin Bazar fruits part,37
32,SayyadShirazi Barekat market,70
32,Caspian (Elahieh) Barekat market,67
33,Sepah Market,20
33,Mahdiye Market,65
33,Qazvin Central Fruit and Vegetable Market,25
33,Minoudar Fruit and Vegetable Market,57
33,Qazvin Bazar fruits part,38
33,SayyadShirazi Barekat market,70
33,Caspian (Elahieh) Barekat market,69
36,Sepah Market,13
36,Mahdiye Market,50
36,Qazvin Central Fruit and Vegetable Market,37
36,Minoudar Fruit and Vegetable Market,48
36,Qazvin Bazar fruits part,35
36,SayyadShirazi Barekat market,64
36,Caspian (Elahieh) Barekat market,62
37,Sepah Market,9
37,Mahdiye Market,55
37,Qazvin Central Fruit and Vegetable Market,28
37,Minoudar Fruit and Vegetable Market,47
37,Qazvin Bazar fruits part,30
37,SayyadShirazi Barekat market,61
37,Caspian (Elahieh) Barekat market,59
38,Sepah Market,12
38,Mahdiye Market,57
38,Qazvin Central Fruit and Vegetable Market,18
38,Minoudar Fruit and Vegetable Market,47
38,Qazvin Bazar fruits part,25
38,SayyadShirazi Barekat market,58
38,Caspian (Elahieh) Barekat market,59
39,Sepah Market,20
39,Mahdiye Market,59
39,Qazvin Central Fruit and Vegetable Market,7
39,Minoudar Fruit and Vegetable Market,43
39,Qazvin Bazar fruits part,27
39,SayyadShirazi Barekat market,54
39,Caspian (Elahieh) Barekat market,55
40,Sepah Market,28
40,Mahdiye Market,67
40,Qazvin Central Fruit and Vegetable Market,11
40,Minoudar Fruit and Vegetable Market,47
40,Qazvin Bazar fruits part,34
40,SayyadShirazi Barekat market,58
40,Caspian (Elahieh) Barekat market,59
41,Sepah Market,10
41,Mahdiye Market,48
41,Qazvin Central Fruit and Vegetable Market,39
41,Minoudar Fruit and Vegetable Market,46
41,Qazvin Bazar fruits part,31
41,SayyadShirazi Barekat market,64
41,Caspian (Elahieh) Barekat market,61
42,Sepah Market,12
42,Mahdiye Market,57
42,Qazvin Central Fruit and Vegetable Market,25
42,Minoudar Fruit and Vegetable Market,46
42,Qazvin Bazar fruits part,16
42,SayyadShirazi Barekat market,59
42,Caspian (Elahieh) Barekat market,60
44,Sepah Market,24
44,Mahdiye Market,63
44,Qazvin Central Fruit and Vegetable Market,18
44,Minoudar Fruit and Vegetable Market,44
44,Qazvin Bazar fruits part,17
44,SayyadShirazi Barekat market,56
44,Caspian (Elahieh) Barekat market,56
45,Sepah Market,20
45,Mahdiye Market,40
45,Qazvin Central Fruit and Vegetable Market,45
45,Minoudar Fruit and Vegetable Market,37
45,Qazvin Bazar fruits part,28
45,SayyadShirazi Barekat market,56
45,Caspian (Elahieh) Barekat market,51
46,Sepah Market,30
46,Mahdiye Market,43
46,Qazvin Central Fruit and Vegetable Market,56
46,Minoudar Fruit and Vegetable Market,41
46,Qazvin Bazar fruits part,41
46,SayyadShirazi Barekat market,60
46,Caspian (Elahieh) Barekat market,55
47,Sepah Market,15
47,Mahdiye Market,52
47,Qazvin Central Fruit and Vegetable Market,39
47,Minoudar Fruit and Vegetable Market,47
47,Qazvin Bazar fruits part,24
47,SayyadShirazi Barekat market,62
47,Caspian (Elahieh) Barekat market,60
48,Sepah Market,18
48,Mahdiye Market,45
48,Qazvin Central Fruit and Vegetable Market,36
48,Minoudar Fruit and Vegetable Market,40
48,Qazvin Bazar fruits part,13
48,SayyadShirazi Barekat market,55
48,Caspian (Elahieh) Barekat market,55
49,Sepah Market,18
49,Mahdiye Market,52
49,Qazvin Central Fruit and Vegetable Market,34
49,Minoudar Fruit and Vegetable Market,36
49,Qazvin Bazar fruits part,6
49,SayyadShirazi Barekat market,50
49,Caspian (Elahieh) Barekat market,50
50,Sepah Market,24
50,Mahdiye Market,49
50,Qazvin Central Fruit and Vegetable Market,44
50,Minoudar Fruit and Vegetable Market,43
50,Qazvin Bazar fruits part,23
50,SayyadShirazi Barekat market,58
50,Caspian (Elahieh) Barekat market,56
51,Sepah Market,20
51,Mahdiye Market,45
51,Qazvin Central Fruit and Vegetable Market,35
51,Minoudar Fruit and Vegetable Market,42
51,Qazvin Bazar fruits part,17
51,SayyadShirazi Barekat market,56
51,Caspian (Elahieh) Barekat market,55
