from_id,to_id,travel_time
22,Farhangian Clinic,37
22,Ghaem Clinic,39
22,Boo Alii Sina Clinic,40
22,Emam Ali Clinic 24hours,46
22,Sina Clinic,29
22,Red Crescent General and Specialized Clinic,45
22,24h Clinic of Minoudar,42
22,Goharshad Clinic,55
22,Parsian,28
22,Specialized Clinics of Velayat Hospital,49
22,Imam Khomeini Clinic,36
22,Shahid Pakravan Clinic,36
22,Imam Sajjad Clinic,36
22,Community health centre No. 2,52
22,Community health centre No. 3,44
22,Imam Hussein Clinic and Doctors Building,40
22,Community health centre No. 7 (Ferdosi),39
22,Community health centre No. 6 (Valiasr),25
22,Aref Clinic,31
22,Community health centre (Madani),29
22,Radmehr Specialized Clinic,31
22,Razi Medical Clinic,28
22,Shahid Bolandian Health Center,32
22,Community health centre (Poonak number11),43
22,Amir Ol-Mo'menin Clinic,45
22,Abotaleb Taghavi Clinic,46
22,Yasin clinic,34
22,Community health centre (Alijani No. 8),42
22,Community health centre (HadiAbad number9),39
22,Shohadaye Naja Clinic,35
22,Community health centre (Navab No. 8),30
22,Mohamadzadeh Clinic & Community health centre (Zaferanieh) ,38
22,Community health centre (Sadi),37
22,Community health centre (Tabriz),47
22,Milad Clinic,38
22,Mehregan Clinic,26
22,Poonak Clinic,41
22,Aria Clinic,36
22,Mohammadzadeh Specialized Clinic,39
22,Comprehensive Health Services Center No. 13 (Bano Mohtasham),43
31,Farhangian Clinic,35
31,Ghaem Clinic,26
31,Boo Alii Sina Clinic,28
31,Emam Ali Clinic 24hours,21
31,Sina Clinic,52
31,Red Crescent General and Specialized Clinic,28
31,24h Clinic of Minoudar,62
31,Goharshad Clinic,75
31,Parsian,51
31,Specialized Clinics of Velayat Hospital,69
31,Imam Khomeini Clinic,56
31,Shahid Pakravan Clinic,54
31,Imam Sajjad Clinic,50
31,Community health centre No. 2,11
31,Community health centre No. 3,20
31,Imam Hussein Clinic and Doctors Building,29
31,Community health centre No. 7 (Ferdosi),37
31,Community health centre No. 6 (Valiasr),31
31,Aref Clinic,41
31,Community health centre (Madani),52
31,Radmehr Specialized Clinic,54
31,Razi Medical Clinic,51
31,Shahid Bolandian Health Center,55
31,Community health centre (Poonak number11),66
31,Amir Ol-Mo'menin Clinic,65
31,Abotaleb Taghavi Clinic,66
31,Yasin clinic,55
31,Community health centre (Alijani No. 8),62
31,Community health centre (HadiAbad number9),60
31,Shohadaye Naja Clinic,52
31,Community health centre (Navab No. 8),45
31,Mohamadzadeh Clinic & Community health centre (Zaferanieh) ,40
31,Community health centre (Sadi),40
31,Community health centre (Tabriz),44
31,Milad Clinic,45
31,Mehregan Clinic,49
31,Poonak Clinic,64
31,Aria Clinic,59
31,Mohammadzadeh Specialized Clinic,62
31,Comprehensive Health Services Center No. 13 (Bano Mohtasham),30
32,Farhangian Clinic,35
32,Ghaem Clinic,26
32,Boo Alii Sina Clinic,28
32,Emam Ali Clinic 24hours,21
32,Sina Clinic,52
32,Red Crescent General and Specialized Clinic,28
32,24h Clinic of Minoudar,62
32,Goharshad Clinic,74
32,Parsian,51
32,Specialized Clinics of Velayat Hospital,69
32,Imam Khomeini Clinic,56
32,Shahid Pakravan Clinic,54
32,Imam Sajjad Clinic,50
32,Community health centre No. 2,9
32,Community health centre No. 3,20
32,Imam Hussein Clinic and Doctors Building,29
32,Community health centre No. 7 (Ferdosi),37
32,Community health centre No. 6 (Valiasr),31
32,Aref Clinic,41
32,Community health centre (Madani),52
32,Radmehr Specialized Clinic,54
32,Razi Medical Clinic,51
32,Shahid Bolandian Health Center,55
32,Community health centre (Poonak number11),66
32,Amir Ol-Mo'menin Clinic,65
32,Abotaleb Taghavi Clinic,66
32,Yasin clinic,55
32,Community health centre (Alijani No. 8),62
32,Community health centre (HadiAbad number9),58
32,Shohadaye Naja Clinic,50
32,Community health centre (Navab No. 8),44
32,Mohamadzadeh Clinic & Community health centre (Zaferanieh) ,40
32,Community health centre (Sadi),40
32,Community health centre (Tabriz),42
32,Milad Clinic,45
32,Mehregan Clinic,49
32,Poonak Clinic,64
32,Aria Clinic,59
32,Mohammadzadeh Specialized Clinic,62
32,Comprehensive Health Services Center No. 13 (Bano Mohtasham),30
33,Farhangian Clinic,38
33,Ghaem Clinic,29
33,Boo Alii Sina Clinic,31
33,Emam Ali Clinic 24hours,22
33,Sina Clinic,57
33,Red Crescent General and Specialized Clinic,31
33,24h Clinic of Minoudar,67
33,Goharshad Clinic,74
33,Parsian,56
33,Specialized Clinics of Velayat Hospital,75
33,Imam Khomeini Clinic,62
33,Shahid Pakravan Clinic,55
33,Imam Sajjad Clinic,53
33,Community health centre No. 2,15
33,Community health centre No. 3,18
33,Imam Hussein Clinic and Doctors Building,32
33,Community health centre No. 7 (Ferdosi),40
33,Community health centre No. 6 (Valiasr),37
33,Aref Clinic,47
33,Community health centre (Madani),57
33,Radmehr Specialized Clinic,59
33,Razi Medical Clinic,56
33,Shahid Bolandian Health Center,60
33,Community health centre (Poonak number11),71
33,Amir Ol-Mo'menin Clinic,71
33,Abotaleb Taghavi Clinic,67
33,Yasin clinic,60
33,Community health centre (Alijani No. 8),64
33,Community health centre (HadiAbad number9),54
33,Shohadaye Naja Clinic,48
33,Community health centre (Navab No. 8),43
33,Mohamadzadeh Clinic & Community health centre (Zaferanieh) ,43
33,Community health centre (Sadi),42
33,Community health centre (Tabriz),35
33,Milad Clinic,48
33,Mehregan Clinic,54
33,Poonak Clinic,69
33,Aria Clinic,64
33,Mohammadzadeh Specialized Clinic,67
33,Comprehensive Health Services Center No. 13 (Bano Mohtasham),33
36,Farhangian Clinic,33
36,Ghaem Clinic,24
36,Boo Alii Sina Clinic,26
36,Emam Ali Clinic 24hours,16
36,Sina Clinic,42
36,Red Crescent General and Specialized Clinic,24
36,24h Clinic of Minoudar,57
36,Goharshad Clinic,68
36,Parsian,41
36,Specialized Clinics of Velayat Hospital,63
36,Imam Khomeini Clinic,51
36,Shahid Pakravan Clinic,46
36,Imam Sajjad Clinic,43
36,Community health centre No. 2,15
36,Community health centre No. 3,12
36,Imam Hussein Clinic and Doctors Building,27
36,Community health centre No. 7 (Ferdosi),35
36,Community health centre No. 6 (Valiasr),24
36,Aref Clinic,37
36,Community health centre (Madani),42
36,Radmehr Specialized Clinic,44
36,Razi Medical Clinic,41
36,Shahid Bolandian Health Center,45
36,Community health centre (Poonak number11),56
36,Amir Ol-Mo'menin Clinic,60
36,Abotaleb Taghavi Clinic,61
36,Yasin clinic,45
36,Community health centre (Alijani No. 8),55
36,Community health centre (HadiAbad number9),51
36,Shohadaye Naja Clinic,45
36,Community health centre (Navab No. 8),41
36,Mohamadzadeh Clinic & Community health centre (Zaferanieh) ,38
36,Community health centre (Sadi),38
36,Community health centre (Tabriz),37
36,Milad Clinic,42
36,Mehregan Clinic,39
36,Poonak Clinic,54
36,Aria Clinic,49
36,Mohammadzadeh Specialized Clinic,52
36,Comprehensive Health Services Center No. 13 (Bano Mohtasham),26
37,Farhangian Clinic,28
37,Ghaem Clinic,19
37,Boo Alii Sina Clinic,21
37,Emam Ali Clinic 24hours,12
37,Sina Clinic,47
37,Red Crescent General and Specialized Clinic,21
37,24h Clinic of Minoudar,57
37,Goharshad Clinic,65
37,Parsian,46
37,Specialized Clinics of Velayat Hospital,65
37,Imam Khomeini Clinic,52
37,Shahid Pakravan Clinic,46
37,Imam Sajjad Clinic,44
37,Community health centre No. 2,13
37,Community health centre No. 3,7
37,Imam Hussein Clinic and Doctors Building,22
37,Community health centre No. 7 (Ferdosi),30
37,Community health centre No. 6 (Valiasr),27
37,Aref Clinic,37
37,Community health centre (Madani),47
37,Radmehr Specialized Clinic,49
