from_id,to_id,travel_time
22,Aladdin Mobile Market,30
31,Aladdin Mobile Market,50
32,Aladdin Mobile Market,50
33,Aladdin Mobile Market,56
36,Aladdin Mobile Market,45
37,Aladdin Mobile Market,46
38,Aladdin Mobile Market,46
39,Aladdin Mobile Market,42
40,Aladdin Mobile Market,46
41,Aladdin Mobile Market,44
42,Aladdin Mobile Market,45
44,Aladdin Mobile Market,43
45,Aladdin Mobile Market,34
46,Aladdin Mobile Market,38
47,Aladdin Mobile Market,45
48,Aladdin Mobile Market,38
49,Aladdin Mobile Market,35
50,Aladdin Mobile Market,41
51,Aladdin Mobile Market,40
52,Aladdin Mobile Market,33
53,Aladdin Mobile Market,41
54,Aladdin Mobile Market,29
55,Aladdin Mobile Market,40
56,Aladdin Mobile Market,41
57,Aladdin Mobile Market,42
59,Aladdin Mobile Market,34
60,Aladdin Mobile Market,40
61,Aladdin Mobile Market,29
62,Aladdin Mobile Market,27
63,Aladdin Mobile Market,23
64,Aladdin Mobile Market,41
65,Aladdin Mobile Market,34
66,Aladdin Mobile Market,39
67,Aladdin Mobile Market,36
68,Aladdin Mobile Market,35
69,Aladdin Mobile Market,30
70,Aladdin Mobile Market,37
71,Aladdin Mobile Market,37
72,Aladdin Mobile Market,34
73,Aladdin Mobile Market,26
74,Aladdin Mobile Market,22
75,Aladdin Mobile Market,26
76,Aladdin Mobile Market,24
77,Aladdin Mobile Market,32
78,Aladdin Mobile Market,28
79,Aladdin Mobile Market,25
80,Aladdin Mobile Market,26
81,Aladdin Mobile Market,29
82,Aladdin Mobile Market,26
83,Aladdin Mobile Market,24
84,Aladdin Mobile Market,30
85,Aladdin Mobile Market,21
86,Aladdin Mobile Market,22
87,Aladdin Mobile Market,27
88,Aladdin Mobile Market,25
89,Aladdin Mobile Market,13
90,Aladdin Mobile Market,25
91,Aladdin Mobile Market,20
92,Aladdin Mobile Market,44
93,Aladdin Mobile Market,38
94,Aladdin Mobile Market,10
95,Aladdin Mobile Market,8
96,Aladdin Mobile Market,28
97,Aladdin Mobile Market,24
99,Aladdin Mobile Market,31
100,Aladdin Mobile Market,27
98,Aladdin Mobile Market,22
101,Aladdin Mobile Market,50
102,Aladdin Mobile Market,47
103,Aladdin Mobile Market,48
104,Aladdin Mobile Market,54
105,Aladdin Mobile Market,48
107,Aladdin Mobile Market,28
108,Aladdin Mobile Market,36
109,Aladdin Mobile Market,31
110,Aladdin Mobile Market,26
111,Aladdin Mobile Market,28
112,Aladdin Mobile Market,36
113,Aladdin Mobile Market,56
114,Aladdin Mobile Market,41
115,Aladdin Mobile Market,34
116,Aladdin Mobile Market,36
117,Aladdin Mobile Market,38
106,Aladdin Mobile Market,35
118,Aladdin Mobile Market,30
119,Aladdin Mobile Market,33
120,Aladdin Mobile Market,35
121,Aladdin Mobile Market,33
122,Aladdin Mobile Market,22
123,Aladdin Mobile Market,16
124,Aladdin Mobile Market,14
125,Aladdin Mobile Market,26
126,Aladdin Mobile Market,42
127,Aladdin Mobile Market,41
128,Aladdin Mobile Market,31
129,Aladdin Mobile Market,53
130,Aladdin Mobile Market,49
131,Aladdin Mobile Market,48
132,Aladdin Mobile Market,30
133,Aladdin Mobile Market,28
134,Aladdin Mobile Market,27
135,Aladdin Mobile Market,30
157,Aladdin Mobile Market,33
158,Aladdin Mobile Market,30
160,Aladdin Mobile Market,22
