from_id,to_id,travel_time
22,Mellat Park,35
22,Molla Khalila Park,64
22,AlQadir Park,33
22,Pamchal Park,49
22,Mother and Child Park,60
31,Mellat Park,39
31,Molla Khalila Park,40
31,AlQadir Park,56
31,Pamchal Park,69
31,Mother and Child Park,16
32,Mellat Park,39
32,Molla Khalila Park,33
32,AlQadir Park,56
32,Pamchal Park,69
32,Mother and Child Park,18
33,Mellat Park,45
33,Molla Khalila Park,20
33,AlQadir Park,61
33,Pamchal Park,72
33,Mother and Child Park,25
36,Mellat Park,34
36,Molla Khalila Park,37
36,AlQadir Park,46
36,Pamchal Park,63
36,Mother and Child Park,26
37,Mellat Park,35
37,Molla Khalila Park,28
37,AlQadir Park,51
37,Pamchal Park,62
37,Mother and Child Park,23
38,Mellat Park,37
38,Molla Khalila Park,19
38,AlQadir Park,51
38,Pamchal Park,62
38,Mother and Child Park,34
39,Mellat Park,42
39,Molla Khalila Park,13
39,AlQadir Park,52
39,Pamchal Park,58
39,Mother and Child Park,39
40,Mellat Park,50
40,Molla Khalila Park,11
40,AlQadir Park,60
40,Pamchal Park,62
40,Mother and Child Park,50
41,Mellat Park,25
41,Molla Khalila Park,40
41,AlQadir Park,44
41,Pamchal Park,62
41,Mother and Child Park,35
42,Mellat Park,35
42,Molla Khalila Park,27
42,AlQadir Park,51
42,Pamchal Park,63
42,Mother and Child Park,36
44,Mellat Park,43
44,Molla Khalila Park,20
44,AlQadir Park,56
44,Pamchal Park,59
44,Mother and Child Park,47
45,Mellat Park,18
45,Molla Khalila Park,45
45,AlQadir Park,36
45,Pamchal Park,53
45,Mother and Child Park,36
46,Mellat Park,28
46,Molla Khalila Park,56
46,AlQadir Park,39
46,Pamchal Park,56
46,Mother and Child Park,46
47,Mellat Park,20
47,Molla Khalila Park,39
47,AlQadir Park,48
47,Pamchal Park,63
47,Mother and Child Park,41
48,Mellat Park,21
48,Molla Khalila Park,36
48,AlQadir Park,39
48,Pamchal Park,57
48,Mother and Child Park,37
49,Mellat Park,30
49,Molla Khalila Park,36
49,AlQadir Park,45
49,Pamchal Park,53
49,Mother and Child Park,39
50,Mellat Park,10
50,Molla Khalila Park,44
50,AlQadir Park,45
