from_id,to_id,travel_time
22,01_Sajadiye Mosque,37
22,02_Halime khatun,38
22,03_Masjed Hazrate Fateme Zahra,40
22,04_Molabashi,40
22,05_Hoseynie Razavi,39
22,06_Soukhte chenar Mosque,37
22,07_Sotudeh Mosque,37
22,08_Agha seyed Ali Mosque,38
22,09_Shishegar Mosque,35
22,10_Emamzadeh Ali,36
22,11_Fatemeh AlZahra Mosque,38
22,12_Haj Mousa,37
22,13_Haj Kazem Mosque,38
22,14_Imamا Hasan Asgari Mosque,36
22,15_Emamzadeh Esmaeil,49
22,16_Sar Allah Masque,39
22,17_Ameneh Khatoon,40
22,18_Mohammadie Mosque,43
22,19_Sabz Mosque,51
22,20_,40
22,21_,45
22,22_Imam Jafar Sadegh Mosque,36
22,23_Javad Aemmeh Mosque,37
22,24_Imam Hossein Mosque,33
22,25_Abolfazl Mosque,27
22,26_Maktab Zehra,21
22,27_Ahmad Beik Mosque,38
22,28_Almahdi Mosque,37
22,29_Fateme Zahra Mosque,47
22,30_Rah Chaman Mosque,36
22,31_Haft Dar Mosque,47
22,32_Mosque,33
22,33_Laal Mosque,52
22,34_Imam Hassan Mosque,40
22,35_14th Masoom Mosque,40
22,36_,53
22,37_Emam Ali Mosque,64
22,38_,29
22,39_,44
22,40_,51
22,41_,40
22,42_,45
22,43_,37
22,44_,47
22,45_,40
22,46_Qadir mosque,32
22,47_Imam Reza Mosque,31
22,48_Velayat,22
22,49_Mohammad Rasolallah Mosque,28
22,50_Emamzadeh Hossein shrine,51
22,51_Sanjideh Mosque,42
22,52_Panje Ali Mosque,46
22,53_Hazrat Abolfazl,30
22,54_Tomb of The Four Prophets,41
22,55_Emam Khomeini Mosque,30
22,56_Emamzadeh Soltan Seyed Mohamad,51
22,57_Al Mahdi Mosque,44
22,58_,36
22,59_,28
22,60_Nabi Mosque,42
22,61_Jameh Mosque of Qazvin,49
22,62_Sheykhol Eslam Mosque,47
22,63_Valiasr Mosque,27
22,64_JavadolAemmeh Mosque,37
22,65_Teflane Moslem Mosque,52
22,66_Tagh Bohloul Mosque,45
22,67_Shahid Sales Mosque,47
22,68_Dabbaghan Mosque,50
22,69_Haj Molla Aqa Mosque,39
22,70_Karim Ahle Beyt Mosque,28
22,71_Ghods Razavi Mosque,28
22,72_Adl Ghaem Mosque,40
22,73_Hazrat Abolfazl Mosque,44
22,74_Imam Musa Bn Ja'far Mosque,35
22,75_Seyedoshohada Mosque,40
22,76_Sahebazaman Mosque,39
22,77_Imam Hosein Mosque,39
22,78_Hazrat Mahdi Mosque,29
22,79_Sahebazaman Mosque,29
22,80_Moslem ebn Aghil Mosque,55
22,81_Imam Hadi Mosque,47
22,82_Fatemeh Al-Zahra Mosque,39
