from_id,to_id,travel_time
22,01_Mohammad Taghi Nourozi,20
22,02_,41
22,03_Qods Highschool,30
22,04_استعدادهای درخشان شهیدان شالباف,47
22,05_Sepide Kashani,37
22,06_Bokharaei High School,35
22,07_Tohid school,33
22,08_Pasargad High Scored,23
22,09_Farzanegan Sampad (NODET) High school,34
22,10_,36
22,11_,21
22,12_Pasdaran highschool,43
22,13_,45
22,14_,25
22,15_,50
22,16_,36
22,17_,30
22,18_,25
22,19_Erfan,28
22,20_Khatamol anbia Technical School,33
22,21_Enghelab-e-Eslami Technical school,34
22,22_Shahed,26
22,23_Shahed,25
22,24_,30
22,25_,32
22,26_Chamran,43
22,27_Nourozian School,33
22,28_Nourozian School Building,33
22,29_,43
22,30_,44
22,31_,35
22,32_Shahed School,34
22,33_Martyr Babayi elites Highschool,30
22,34_,32
22,35_Jaberebn e Hayyan,43
22,36_Nejatiye,40
22,37_,39
22,38_,36
22,39_Daneshmand High School,49
22,40_Amin Rambood,40
22,41_,40
22,42_,31
22,43_Reshadat,30
22,44_,40
22,45_,40
22,46_,38
22,47_,36
22,48_,34
22,49_Sadra,32
22,50_,48
22,51_Tarbiat,44
22,52_,46
22,53_Exceptional Children School,48
22,54_Shahidi,40
22,55_Ayande Sazan Novin,51
22,56_Erfan High School,31
22,57_Dehkhoda And Farabi High school,39
22,58_,40
22,59_Shirodi and Haj Seyed Fazlollah Ghavam,38
22,60_Sheykh e Toosi and Kalini,38
22,61_,45
22,62_Abdollahi School,44
22,63_Sa'adat School,45
22,64_Valiasr,31
22,65_Aghmashe High School,30
22,66_,39
22,67_,31
22,68_,31
22,69_Hemmat School,39
22,70_,35
22,71_,37
22,72_,49
22,73_,42
22,74_,45
22,75_,42
22,76_,43
22,77_,43
22,78_,44
22,79_Allame Jafari High school,51
22,80_,33
22,81_,26
22,82_,39
31,01_Mohammad Taghi Nourozi,50
31,02_,61
31,03_Qods Highschool,39
31,04_استعدادهای درخشان شهیدان شالباف,68
31,05_Sepide Kashani,52
31,06_Bokharaei High School,56
31,07_Tohid school,41
31,08_Pasargad High Scored,47
31,09_Farzanegan Sampad (NODET) High school,57
31,10_,56
31,11_,46
31,12_Pasdaran highschool,31
31,13_,66
31,14_,33
31,15_,31
31,16_,60
31,17_,57
31,18_,53
31,19_Erfan,51
31,20_Khatamol anbia Technical School,56
31,21_Enghelab-e-Eslami Technical school,58
31,22_Shahed,49
31,23_Shahed,48
31,24_,52
31,25_,47
31,26_Chamran,45
31,27_Nourozian School,47
31,28_Nourozian School Building,47
31,29_,22
31,30_,20
31,31_,40
31,32_Shahed School,57
31,33_Martyr Babayi elites Highschool,53
31,34_,47
31,35_Jaberebn e Hayyan,66
31,36_Nejatiye,63
31,37_,45
31,38_,36
31,39_Daneshmand High School,72
31,40_Amin Rambood,32
31,41_,46
31,42_,52
31,43_Reshadat,51
31,44_,41
31,45_,42
31,46_,61
31,47_,59
31,48_,22
31,49_Sadra,48
31,50_,68
31,51_Tarbiat,63
31,52_,66
31,53_Exceptional Children School,68
31,54_Shahidi,28
31,55_Ayande Sazan Novin,74
31,56_Erfan High School,54
31,57_Dehkhoda And Farabi High school,36
31,58_,36
31,59_Shirodi and Haj Seyed Fazlollah Ghavam,37
31,60_Sheykh e Toosi and Kalini,37
31,61_,29
31,62_Abdollahi School,67
31,63_Sa'adat School,68
31,64_Valiasr,32
31,65_Aghmashe High School,41
31,66_,45
31,67_,52
31,68_,52
31,69_Hemmat School,45
31,70_,25
31,71_,58
31,72_,69
31,73_,62
31,74_,64
31,75_,62
31,76_,63
31,77_,63
31,78_,64
31,79_Allame Jafari High school,71
31,80_,61
31,81_,40
31,82_,45
32,01_Mohammad Taghi Nourozi,50
32,02_,61
32,03_Qods Highschool,39
32,04_استعدادهای درخشان شهیدان شالباف,68
32,05_Sepide Kashani,52
32,06_Bokharaei High School,56
32,07_Tohid school,41
32,08_Pasargad High Scored,47
32,09_Farzanegan Sampad (NODET) High school,57
32,10_,56
32,11_,46
32,12_Pasdaran highschool,31
32,13_,66
32,14_,33
32,15_,31
32,16_,60
32,17_,57
32,18_,53
32,19_Erfan,51
32,20_Khatamol anbia Technical School,56
32,21_Enghelab-e-Eslami Technical school,58
32,22_Shahed,49
32,23_Shahed,48
32,24_,52
32,25_,47
32,26_Chamran,45
32,27_Nourozian School,47
32,28_Nourozian School Building,47
32,29_,22
32,30_,20
32,31_,40
32,32_Shahed School,57
32,33_Martyr Babayi elites Highschool,53
32,34_,47
32,35_Jaberebn e Hayyan,66
32,36_Nejatiye,63
32,37_,45
32,38_,36
32,39_Daneshmand High School,72
32,40_Amin Rambood,32
32,41_,46
32,42_,52
32,43_Reshadat,51
32,44_,41
32,45_,42
32,46_,61
32,47_,59
32,48_,22
32,49_Sadra,48
32,50_,68
32,51_Tarbiat,61
32,52_,66
32,53_Exceptional Children School,68
32,54_Shahidi,28
32,55_Ayande Sazan Novin,74
32,56_Erfan High School,54
32,57_Dehkhoda And Farabi High school,36
32,58_,36
32,59_Shirodi and Haj Seyed Fazlollah Ghavam,37
32,60_Sheykh e Toosi and Kalini,37
32,61_,29
32,62_Abdollahi School,67
32,63_Sa'adat School,68
32,64_Valiasr,32
32,65_Aghmashe High School,41
32,66_,45
32,67_,52
32,68_,52
32,69_Hemmat School,45
32,70_,25
32,71_,58
32,72_,69
32,73_,62
32,74_,62
32,75_,60
32,76_,61
32,77_,63
32,78_,64
32,79_Allame Jafari High school,71
32,80_,61
32,81_,40
32,82_,45
33,01_Mohammad Taghi Nourozi,56
33,02_,67
33,03_Qods Highschool,45
33,04_استعدادهای درخشان شهیدان شالباف,73
33,05_Sepide Kashani,54
33,06_Bokharaei High School,61
33,07_Tohid school,46
33,08_Pasargad High Scored,53
33,09_Farzanegan Sampad (NODET) High school,62
33,10_,62
33,11_,52
33,12_Pasdaran highschool,34
33,13_,71
33,14_,39
33,15_,28
33,16_,65
33,17_,62
33,18_,58
33,19_Erfan,56
33,20_Khatamol anbia Technical School,61
33,21_Enghelab-e-Eslami Technical school,63
33,22_Shahed,54
33,23_Shahed,53
33,24_,57
33,25_,50
33,26_Chamran,48
33,27_Nourozian School,51
33,28_Nourozian School Building,51
33,29_,20
33,30_,18
33,31_,45
33,32_Shahed School,62
33,33_Martyr Babayi elites Highschool,58
33,34_,50
33,35_Jaberebn e Hayyan,71
33,36_Nejatiye,68
33,37_,48
33,38_,41
33,39_Daneshmand High School,77
33,40_Amin Rambood,35
33,41_,48
33,42_,57
33,43_Reshadat,56
33,44_,44
33,45_,45
33,46_,66
33,47_,64
33,48_,27
33,49_Sadra,53
33,50_,74
33,51_Tarbiat,56
33,52_,67
33,53_Exceptional Children School,69
33,54_Shahidi,31
33,55_Ayande Sazan Novin,79
33,56_Erfan High School,59
33,57_Dehkhoda And Farabi High school,39
33,58_,39
33,59_Shirodi and Haj Seyed Fazlollah Ghavam,40
33,60_Sheykh e Toosi and Kalini,40
33,61_,33
33,62_Abdollahi School,72
33,63_Sa'adat School,73
33,64_Valiasr,37
33,65_Aghmashe High School,47
33,66_,48
33,67_,57
33,68_,57
33,69_Hemmat School,48
33,70_,26
33,71_,63
33,72_,75
33,73_,63
33,74_,57
33,75_,55
33,76_,56
33,77_,64
33,78_,65
33,79_Allame Jafari High school,73
33,80_,66
33,81_,46
33,82_,48
36,01_Mohammad Taghi Nourozi,37
36,02_,56
36,03_Qods Highschool,32
36,04_استعدادهای درخشان شهیدان شالباف,58
36,05_Sepide Kashani,44
36,06_Bokharaei High School,46
36,07_Tohid school,34
36,08_Pasargad High Scored,35
36,09_Farzanegan Sampad (NODET) High school,47
36,10_,51
36,11_,35
36,12_Pasdaran highschool,29
36,13_,56
36,14_,26
36,15_,27
36,16_,50
36,17_,47
36,18_,43
36,19_Erfan,41
36,20_Khatamol anbia Technical School,46
36,21_Enghelab-e-Eslami Technical school,48
36,22_Shahed,39
36,23_Shahed,38
36,24_,43
36,25_,39
36,26_Chamran,43
36,27_Nourozian School,39
36,28_Nourozian School Building,39
36,29_,8
36,30_,9
36,31_,32
36,32_Shahed School,47
36,33_Martyr Babayi elites Highschool,43
36,34_,39
