from_id,to_id,travel_time
22,Shahid Rajaei Stadium,31
22,Kanoon Roshd Sport Complex,50
22,Moallem Sport Cpmplex,60
22,Ghadir Sport complex,33
22,Chamran Sport Complex,39
22,Reyhane Hazrat Rasoul Sport complex,44
22,Persian Gulf sport complex,56
22,Shohadaye Modafe e Haram sport complex,42
22,Kowsar Sport Complex,33
31,Shahid Rajaei Stadium,33
31,Kanoon Roshd Sport Complex,70
31,Moallem Sport Cpmplex,32
31,Ghadir Sport complex,53
31,Chamran Sport Complex,59
31,Reyhane Hazrat Rasoul Sport complex,67
31,Persian Gulf sport complex,76
31,Shohadaye Modafe e Haram sport complex,62
31,Kowsar Sport Complex,38
32,Shahid Rajaei Stadium,33
32,Kanoon Roshd Sport Complex,70
32,Moallem Sport Cpmplex,26
32,Ghadir Sport complex,53
32,Chamran Sport Complex,59
32,Reyhane Hazrat Rasoul Sport complex,67
32,Persian Gulf sport complex,76
32,Shohadaye Modafe e Haram sport complex,62
32,Kowsar Sport Complex,38
33,Shahid Rajaei Stadium,39
33,Kanoon Roshd Sport Complex,76
33,Moallem Sport Cpmplex,16
33,Ghadir Sport complex,58
33,Chamran Sport Complex,65
33,Reyhane Hazrat Rasoul Sport complex,72
33,Persian Gulf sport complex,77
33,Shohadaye Modafe e Haram sport complex,64
33,Kowsar Sport Complex,43
36,Shahid Rajaei Stadium,26
36,Kanoon Roshd Sport Complex,65
36,Moallem Sport Cpmplex,27
36,Ghadir Sport complex,44
36,Chamran Sport Complex,54
36,Reyhane Hazrat Rasoul Sport complex,57
36,Persian Gulf sport complex,71
36,Shohadaye Modafe e Haram sport complex,55
36,Kowsar Sport Complex,31
37,Shahid Rajaei Stadium,29
37,Kanoon Roshd Sport Complex,66
37,Moallem Sport Cpmplex,18
37,Ghadir Sport complex,48
37,Chamran Sport Complex,55
37,Reyhane Hazrat Rasoul Sport complex,62
37,Persian Gulf sport complex,68
37,Shohadaye Modafe e Haram sport complex,54
37,Kowsar Sport Complex,33
38,Shahid Rajaei Stadium,36
38,Kanoon Roshd Sport Complex,66
38,Moallem Sport Cpmplex,9
38,Ghadir Sport complex,47
38,Chamran Sport Complex,55
38,Reyhane Hazrat Rasoul Sport complex,64
38,Persian Gulf sport complex,67
38,Shohadaye Modafe e Haram sport complex,54
38,Kowsar Sport Complex,36
39,Shahid Rajaei Stadium,43
39,Kanoon Roshd Sport Complex,62
39,Moallem Sport Cpmplex,6
39,Ghadir Sport complex,45
39,Chamran Sport Complex,51
39,Reyhane Hazrat Rasoul Sport complex,66
39,Persian Gulf sport complex,63
39,Shohadaye Modafe e Haram sport complex,50
39,Kowsar Sport Complex,40
40,Shahid Rajaei Stadium,51
40,Kanoon Roshd Sport Complex,66
40,Moallem Sport Cpmplex,18
40,Ghadir Sport complex,49
40,Chamran Sport Complex,55
40,Reyhane Hazrat Rasoul Sport complex,74
40,Persian Gulf sport complex,67
40,Shohadaye Modafe e Haram sport complex,54
40,Kowsar Sport Complex,48
41,Shahid Rajaei Stadium,25
41,Kanoon Roshd Sport Complex,64
41,Moallem Sport Cpmplex,30
41,Ghadir Sport complex,42
41,Chamran Sport Complex,53
41,Reyhane Hazrat Rasoul Sport complex,55
41,Persian Gulf sport complex,70
41,Shohadaye Modafe e Haram sport complex,54
41,Kowsar Sport Complex,24
42,Shahid Rajaei Stadium,36
42,Kanoon Roshd Sport Complex,65
42,Moallem Sport Cpmplex,17
42,Ghadir Sport complex,45
42,Chamran Sport Complex,54
42,Reyhane Hazrat Rasoul Sport complex,64
42,Persian Gulf sport complex,68
42,Shohadaye Modafe e Haram sport complex,53
42,Kowsar Sport Complex,34
44,Shahid Rajaei Stadium,47
44,Kanoon Roshd Sport Complex,63
44,Moallem Sport Cpmplex,17
44,Ghadir Sport complex,44
44,Chamran Sport Complex,52
44,Reyhane Hazrat Rasoul Sport complex,70
44,Persian Gulf sport complex,64
44,Shohadaye Modafe e Haram sport complex,51
44,Kowsar Sport Complex,43
45,Shahid Rajaei Stadium,13
45,Kanoon Roshd Sport Complex,54
45,Moallem Sport Cpmplex,37
45,Ghadir Sport complex,34
45,Chamran Sport Complex,43
45,Reyhane Hazrat Rasoul Sport complex,47
45,Persian Gulf sport complex,60
45,Shohadaye Modafe e Haram sport complex,45
45,Kowsar Sport Complex,17
46,Shahid Rajaei Stadium,19
46,Kanoon Roshd Sport Complex,58
46,Moallem Sport Cpmplex,48
46,Ghadir Sport complex,37
46,Chamran Sport Complex,47
46,Reyhane Hazrat Rasoul Sport complex,50
46,Persian Gulf sport complex,64
46,Shohadaye Modafe e Haram sport complex,48
46,Kowsar Sport Complex,25
47,Shahid Rajaei Stadium,26
47,Kanoon Roshd Sport Complex,65
47,Moallem Sport Cpmplex,34
47,Ghadir Sport complex,44
47,Chamran Sport Complex,54
47,Reyhane Hazrat Rasoul Sport complex,59
47,Persian Gulf sport complex,69
47,Shohadaye Modafe e Haram sport complex,55
47,Kowsar Sport Complex,18
48,Shahid Rajaei Stadium,26
48,Kanoon Roshd Sport Complex,59
48,Moallem Sport Cpmplex,31
48,Ghadir Sport complex,34
48,Chamran Sport Complex,48
48,Reyhane Hazrat Rasoul Sport complex,52
48,Persian Gulf sport complex,63
48,Shohadaye Modafe e Haram sport complex,48
48,Kowsar Sport Complex,21
49,Shahid Rajaei Stadium,35
49,Kanoon Roshd Sport Complex,55
49,Moallem Sport Cpmplex,26
49,Ghadir Sport complex,36
49,Chamran Sport Complex,44
49,Reyhane Hazrat Rasoul Sport complex,59
49,Persian Gulf sport complex,59
49,Shohadaye Modafe e Haram sport complex,45
49,Kowsar Sport Complex,30
50,Shahid Rajaei Stadium,20
50,Kanoon Roshd Sport Complex,61
50,Moallem Sport Cpmplex,38
50,Ghadir Sport complex,42
50,Chamran Sport Complex,50
50,Reyhane Hazrat Rasoul Sport complex,56
50,Persian Gulf sport complex,65
50,Shohadaye Modafe e Haram sport complex,51
50,Kowsar Sport Complex,8
51,Shahid Rajaei Stadium,26
51,Kanoon Roshd Sport Complex,62
51,Moallem Sport Cpmplex,31
51,Ghadir Sport complex,35
51,Chamran Sport Complex,51
51,Reyhane Hazrat Rasoul Sport complex,52
51,Persian Gulf sport complex,64
51,Shohadaye Modafe e Haram sport complex,49
51,Kowsar Sport Complex,13
52,Shahid Rajaei Stadium,42
52,Kanoon Roshd Sport Complex,53
52,Moallem Sport Cpmplex,28
52,Ghadir Sport complex,34
52,Chamran Sport Complex,42
52,Reyhane Hazrat Rasoul Sport complex,67
52,Persian Gulf sport complex,55
52,Shohadaye Modafe e Haram sport complex,41
52,Kowsar Sport Complex,38
53,Shahid Rajaei Stadium,51
53,Kanoon Roshd Sport Complex,61
53,Moallem Sport Cpmplex,26
53,Ghadir Sport complex,45
53,Chamran Sport Complex,50
53,Reyhane Hazrat Rasoul Sport complex,74
53,Persian Gulf sport complex,62
53,Shohadaye Modafe e Haram sport complex,49
53,Kowsar Sport Complex,48
54,Shahid Rajaei Stadium,10
54,Kanoon Roshd Sport Complex,49
54,Moallem Sport Cpmplex,49
54,Ghadir Sport complex,31
54,Chamran Sport Complex,38
54,Reyhane Hazrat Rasoul Sport complex,43
54,Persian Gulf sport complex,55
54,Shohadaye Modafe e Haram sport complex,41
54,Kowsar Sport Complex,20
55,Shahid Rajaei Stadium,28
55,Kanoon Roshd Sport Complex,60
55,Moallem Sport Cpmplex,45
55,Ghadir Sport complex,41
55,Chamran Sport Complex,49
55,Reyhane Hazrat Rasoul Sport complex,55
55,Persian Gulf sport complex,66
55,Shohadaye Modafe e Haram sport complex,52
55,Kowsar Sport Complex,10
56,Shahid Rajaei Stadium,30
56,Kanoon Roshd Sport Complex,61
56,Moallem Sport Cpmplex,35
56,Ghadir Sport complex,36
56,Chamran Sport Complex,50
56,Reyhane Hazrat Rasoul Sport complex,53
56,Persian Gulf sport complex,65
56,Shohadaye Modafe e Haram sport complex,50
56,Kowsar Sport Complex,13
57,Shahid Rajaei Stadium,19
57,Kanoon Roshd Sport Complex,62
57,Moallem Sport Cpmplex,40
57,Ghadir Sport complex,40
57,Chamran Sport Complex,51
57,Reyhane Hazrat Rasoul Sport complex,55
57,Persian Gulf sport complex,67
57,Shohadaye Modafe e Haram sport complex,53
57,Kowsar Sport Complex,1
59,Shahid Rajaei Stadium,30
59,Kanoon Roshd Sport Complex,54
59,Moallem Sport Cpmplex,29
