from_id,to_id,travel_time
22,01_Bank Melli Iran,24
22,02_Bank Maskan,31
22,03_Bank Sepah,25
22,04_Bank Mellat,23
22,05_Bank Saderat Iran,28
22,06_Bank Mellat,27
22,07_Mehr,27
22,08_Refah Bank,27
22,09_Bank Maskan,31
22,10_Bank Sepah,46
22,11_Bank Sepah,37
22,12_Melli Bank,41
22,13_EN Bank,40
22,14_Bank Maskan,32
22,15_Bank Maskan,28
22,16_Bank Saderat Iran,27
22,17_Bank Mellat,28
22,18_Saman Bank,35
22,19_Bank Melli Iran,37
22,20_Gardeshgari,31
22,21_Bank Maskan,29
22,22_Samen Bank,34
22,23_Tejarat Bank,32
22,24_Bank Maskan,33
22,25_Bank Melli Iran,35
22,26_Bank Keshavarzi Iran,37
22,27_Bank Saderat Iran,28
22,28_Bank Saderat Iran,39
22,29_Bank Keshavarzi Iran,40
22,30_Bank Sepah,41
22,31_Refah Bank,41
22,32_Shahr Bank,26
22,33_Sepah Bank,17
22,34_Bank of Industry and Mine,14
22,35_Ghavamin Bank,27
22,36_Mehr Eqtesad Bank,44
22,37_Bank Melli Iran,52
22,38_Tejarat Bank,47
22,39_Bank Melli Iran,48
22,40_Bank Mellat,49
22,41_Bank Melli Iran,38
22,42_Bank Saderat Iran,39
22,43_Bank Sepah,36
22,44_Bank Maskan,32
22,45_Tejarat Bank,55
22,46_Bank Saderat Iran,28
22,47_Tejarat Bank,29
22,48_Ansar Bank,39
22,49_Bank Day,38
22,50_Bank Saderat Iran,37
22,51_Kosar Financial Institute,37
22,52_Bank Mellat,38
22,53_Post Bank of Iran,29
22,54_Tejarat Bank,35
22,55_Bank Keshavarzi Iran,34
22,56_Ansar Bank,34
22,57_Bank Melli Iran,36
22,58_Bank Melli Iran,30
22,59_Bank Saderat Iran,34
22,60_Bank Mellat,40
22,61_TT Bank,25
22,62_Bank Sepah,38
22,63_Hekmat Iranian Bank,38
22,64_Bank Mellat,38
22,65_Post Bank of Iran,43
22,66_Refah Bank,21
22,67_Bank Keshavarzi Iran,37
22,68_Refah Bank,51
22,69_Bank Keshavarzi Iran,42
22,70_Bank Melli Iran,42
22,71_Bank Saderat Iran,41
22,72_Qarz Al-Hasaneh Mehr Iran Bank,41
22,73_Bank Maskan,42
22,74_Bank Saderat Iran,35
22,75_Bank Sepah,36
22,76_Tejarat Bank,28
22,77_Bank Melli Iran,27
22,78_Bank mehr iran,33
22,79_Bank Sepah,36
22,80_Bank Sepah,37
22,81_Bank Melli Iran,37
22,82_Shahr Bank,31
22,83_Bank Sepah,23
22,84_Bank Melli Iran,30
22,85_Bank Saderat Iran,25
22,86_Bank Sepah,38
22,87_Bank Keshavarzi Iran,36
22,88_Bank Sepah,39
22,89_Bank Sepah,39
22,90_Bank Melli Iran,28
22,91_Ayandeh Bank,38
22,92_Bank Pasargad,28
22,93_Bank Melli Iran,22
22,94_Bank Mellat,37
22,95_Mehr Eqtesad Bank,38
22,96_EN Bank,38
22,97_Bank Keshavarzi Iran,53
22,98_Tejarat Bank,40
22,99_Bank Melli Iran,41
22,100_Bank Keshavarzi Iran,36
22,101_Bank Melli Iran,35
22,102_Bank Mellat,32
22,103_Bank Maskan,39
22,104_Tejarat Bank,38
22,105_Bank Maskan,37
22,106_Sarmayeh Bank,37
22,107_Bank Sepah,35
22,108_Bank Melli Iran,36
22,109_Sarmayeh Bank,39
22,110_Bank Saderat Iran,32
31,01_Bank Melli Iran,47
31,02_Bank Maskan,54
31,03_Bank Sepah,48
31,04_Bank Mellat,46
31,05_Bank Saderat Iran,51
31,06_Bank Mellat,50
31,07_Mehr,50
31,08_Refah Bank,50
31,09_Bank Maskan,48
31,10_Bank Sepah,21
31,11_Bank Sepah,50
31,12_Melli Bank,57
31,13_EN Bank,27
31,14_Bank Maskan,53
31,15_Bank Maskan,28
31,16_Bank Saderat Iran,27
31,17_Bank Mellat,30
31,18_Saman Bank,47
31,19_Bank Melli Iran,43
31,20_Gardeshgari,46
31,21_Bank Maskan,49
31,22_Samen Bank,47
31,23_Tejarat Bank,49
31,24_Bank Maskan,48
31,25_Bank Melli Iran,40
31,26_Bank Keshavarzi Iran,41
