from_id,to_id,travel_time
22,01_Win Market,57
22,02_Ofoq Kourosh,38
22,03_Ofoq Kourosh,46
22,04_Ofoq Kourosh,48
22,05_Win Market,26
22,06_Ofoq Kourosh,25
22,07_Daily Market,25
22,08_Sorena,27
22,09_Daily Market,29
22,10_Refah,41
22,11_Ofoq Kourosh,27
22,12_Ofoq Kourosh,41
22,13_Ofoq Kourosh,32
22,14_Ofoq Kourosh,29
22,15_Ofoq Kourosh,26
22,16_Ofoq Kourosh,56
22,17_Ofoq Kourosh,30
22,18_Yas Chain Store,40
22,19_Yas Chain Store,37
22,20_Hayat Market,34
22,21_Janbo,51
22,22_Janbo,36
22,23_Janbo,39
22,24_Janbo,27
22,25_Hyper Keeper,17
22,26_Haft,43
22,27_Haft,35
22,28_Haft,29
22,29_Haft,38
22,30_Haft,32
22,31_Daily Market,37
22,32_Daily Market,37
22,33_Daily Market,36
22,34_HyperMe,36
22,35_Val Market,24
22,36_Etka,42
22,37_Etka,38
22,38_Etka,12
22,39_Refah,29
22,40_Refah,33
22,41_Sorena,38
22,42_Sorena,35
22,43_Sorena,28
22,44_Win Market,38
22,45_Win Market,29
22,46_Win Market,47
22,47_Win Market,47
22,48_Farhangian Consumer Cooperative,37
22,49_Amiran,39
22,50_Gandom,50
22,51_Minou Mart,38
22,52_Haft,39
22,53_Hyperstar,33
31,01_Win Market,77
31,02_Ofoq Kourosh,58
31,03_Ofoq Kourosh,66
31,04_Ofoq Kourosh,68
31,05_Win Market,52
31,06_Ofoq Kourosh,53
31,07_Daily Market,48
31,08_Sorena,48
31,09_Daily Market,51
31,10_Refah,61
31,11_Ofoq Kourosh,26
31,12_Ofoq Kourosh,64
31,13_Ofoq Kourosh,53
31,14_Ofoq Kourosh,50
31,15_Ofoq Kourosh,46
31,16_Ofoq Kourosh,37
31,17_Ofoq Kourosh,41
31,18_Yas Chain Store,60
31,19_Yas Chain Store,42
31,20_Hayat Market,57
31,21_Janbo,71
31,22_Janbo,59
31,23_Janbo,27
31,24_Janbo,28
31,25_Hyper Keeper,46
31,26_Haft,63
31,27_Haft,58
31,28_Haft,52
31,29_Haft,43
31,30_Haft,37
31,31_Daily Market,38
31,32_Daily Market,41
31,33_Daily Market,20
31,34_HyperMe,40
31,35_Val Market,47
31,36_Etka,65
31,37_Etka,58
31,38_Etka,43
31,39_Refah,50
31,40_Refah,34
31,41_Sorena,58
31,42_Sorena,55
31,43_Sorena,36
31,44_Win Market,61
31,45_Win Market,49
31,46_Win Market,23
31,47_Win Market,11
31,48_Farhangian Consumer Cooperative,37
31,49_Amiran,62
31,50_Gandom,70
31,51_Minou Mart,61
31,52_Haft,20
31,53_Hyperstar,35
32,01_Win Market,76
32,02_Ofoq Kourosh,58
32,03_Ofoq Kourosh,66
32,04_Ofoq Kourosh,68
32,05_Win Market,52
32,06_Ofoq Kourosh,53
32,07_Daily Market,48
32,08_Sorena,48
32,09_Daily Market,51
32,10_Refah,59
32,11_Ofoq Kourosh,26
32,12_Ofoq Kourosh,64
32,13_Ofoq Kourosh,53
