from_id,to_id,travel_time
22,Cinema Mahtab,37
22,Cinema Bahman,34
31,Cinema Mahtab,33
31,Cinema Bahman,40
32,Cinema Mahtab,33
32,Cinema Bahman,40
33,Cinema Mahtab,37
33,Cinema Bahman,45
36,Cinema Mahtab,26
36,Cinema Bahman,32
37,Cinema Mahtab,27
37,Cinema Bahman,35
38,Cinema Mahtab,28
38,Cinema Bahman,36
39,Cinema Mahtab,30
39,Cinema Bahman,38
40,Cinema Mahtab,38
40,Cinema Bahman,46
41,Cinema Mahtab,16
41,Cinema Bahman,22
42,Cinema Mahtab,22
42,Cinema Bahman,32
44,Cinema Mahtab,34
44,Cinema Bahman,42
45,Cinema Mahtab,13
45,Cinema Bahman,15
46,Cinema Mahtab,26
46,Cinema Bahman,28
47,Cinema Mahtab,7
47,Cinema Bahman,17
48,Cinema Mahtab,10
48,Cinema Bahman,19
49,Cinema Mahtab,19
49,Cinema Bahman,28
50,Cinema Mahtab,4
50,Cinema Bahman,6
51,Cinema Mahtab,6
51,Cinema Bahman,11
52,Cinema Mahtab,27
52,Cinema Bahman,36
53,Cinema Mahtab,38
53,Cinema Bahman,46
54,Cinema Mahtab,23
54,Cinema Bahman,24
55,Cinema Mahtab,16
55,Cinema Bahman,6
56,Cinema Mahtab,10
56,Cinema Bahman,11
57,Cinema Mahtab,10
57,Cinema Bahman,4
59,Cinema Mahtab,14
59,Cinema Bahman,21
60,Cinema Mahtab,13
60,Cinema Bahman,14
61,Cinema Mahtab,19
61,Cinema Bahman,23
62,Cinema Mahtab,25
62,Cinema Bahman,31
63,Cinema Mahtab,30
63,Cinema Bahman,35
64,Cinema Mahtab,16
64,Cinema Bahman,7
65,Cinema Mahtab,26
65,Cinema Bahman,19
66,Cinema Mahtab,17
66,Cinema Bahman,12
67,Cinema Mahtab,23
67,Cinema Bahman,13
68,Cinema Mahtab,22
68,Cinema Bahman,17
69,Cinema Mahtab,24
69,Cinema Bahman,23
70,Cinema Mahtab,23
70,Cinema Bahman,13
71,Cinema Mahtab,24
71,Cinema Bahman,17
72,Cinema Mahtab,23
72,Cinema Bahman,17
73,Cinema Mahtab,31
73,Cinema Bahman,31
74,Cinema Mahtab,39
74,Cinema Bahman,41
75,Cinema Mahtab,25
75,Cinema Bahman,24
76,Cinema Mahtab,42
76,Cinema Bahman,45
77,Cinema Mahtab,27
77,Cinema Bahman,23
78,Cinema Mahtab,27
78,Cinema Bahman,27
79,Cinema Mahtab,34
79,Cinema Bahman,35
80,Cinema Mahtab,37
80,Cinema Bahman,39
81,Cinema Mahtab,31
81,Cinema Bahman,26
82,Cinema Mahtab,31
82,Cinema Bahman,26
83,Cinema Mahtab,29
83,Cinema Bahman,31
84,Cinema Mahtab,35
84,Cinema Bahman,33
85,Cinema Mahtab,33
85,Cinema Bahman,34
86,Cinema Mahtab,32
86,Cinema Bahman,36
87,Cinema Mahtab,29
87,Cinema Bahman,32
88,Cinema Mahtab,31
88,Cinema Bahman,29
89,Cinema Mahtab,32
89,Cinema Bahman,35
90,Cinema Mahtab,42
90,Cinema Bahman,40
91,Cinema Mahtab,41
91,Cinema Bahman,43
92,Cinema Mahtab,40
92,Cinema Bahman,31
93,Cinema Mahtab,36
93,Cinema Bahman,32
94,Cinema Mahtab,39
94,Cinema Bahman,39
95,Cinema Mahtab,38
95,Cinema Bahman,41
96,Cinema Mahtab,39
96,Cinema Bahman,40
97,Cinema Mahtab,50
97,Cinema Bahman,49
99,Cinema Mahtab,45
99,Cinema Bahman,44
100,Cinema Mahtab,53
100,Cinema Bahman,52
98,Cinema Mahtab,48
98,Cinema Bahman,45
101,Cinema Mahtab,46
101,Cinema Bahman,44
102,Cinema Mahtab,47
102,Cinema Bahman,48
103,Cinema Mahtab,46
103,Cinema Bahman,49
104,Cinema Mahtab,56
104,Cinema Bahman,58
105,Cinema Mahtab,51
105,Cinema Bahman,55
107,Cinema Mahtab,53
107,Cinema Bahman,51
108,Cinema Mahtab,61
108,Cinema Bahman,59
109,Cinema Mahtab,56
109,Cinema Bahman,53
110,Cinema Mahtab,53
110,Cinema Bahman,52
111,Cinema Mahtab,44
111,Cinema Bahman,48
112,Cinema Mahtab,46
112,Cinema Bahman,51
113,Cinema Mahtab,58
113,Cinema Bahman,62
114,Cinema Mahtab,49
114,Cinema Bahman,53
115,Cinema Mahtab,59
115,Cinema Bahman,57
116,Cinema Mahtab,64
116,Cinema Bahman,63
117,Cinema Mahtab,49
117,Cinema Bahman,53
106,Cinema Mahtab,55
106,Cinema Bahman,59
118,Cinema Mahtab,61
118,Cinema Bahman,62
119,Cinema Mahtab,58
119,Cinema Bahman,55
120,Cinema Mahtab,22
120,Cinema Bahman,18
121,Cinema Mahtab,16
121,Cinema Bahman,14
122,Cinema Mahtab,37
122,Cinema Bahman,39
123,Cinema Mahtab,46
123,Cinema Bahman,45
124,Cinema Mahtab,36
124,Cinema Bahman,40
125,Cinema Mahtab,36
125,Cinema Bahman,40
126,Cinema Mahtab,43
126,Cinema Bahman,35
