from_id,to_id,travel_time
22,Pasteur Hospital,36
22,Mehregan Hospital,38
22,Dehkhoda Hospital,35
31,Pasteur Hospital,38
31,Mehregan Hospital,38
31,Dehkhoda Hospital,45
32,Pasteur Hospital,38
32,Mehregan Hospital,38
32,Dehkhoda Hospital,45
33,Pasteur Hospital,44
33,Mehregan Hospital,41
33,Dehkhoda Hospital,48
36,Pasteur Hospital,31
36,Mehregan Hospital,36
36,Dehkhoda Hospital,43
37,Pasteur Hospital,34
37,Mehregan Hospital,31
37,Dehkhoda Hospital,38
38,Pasteur Hospital,41
38,Mehregan Hospital,32
38,Dehkhoda Hospital,37
39,Pasteur Hospital,48
39,Mehregan Hospital,35
39,Dehkhoda Hospital,38
40,Pasteur Hospital,56
40,Mehregan Hospital,42
40,Dehkhoda Hospital,46
41,Pasteur Hospital,30
41,Mehregan Hospital,32
41,Dehkhoda Hospital,40
42,Pasteur Hospital,41
42,Mehregan Hospital,29
42,Dehkhoda Hospital,37
44,Pasteur Hospital,52
44,Mehregan Hospital,38
44,Dehkhoda Hospital,42
45,Pasteur Hospital,18
45,Mehregan Hospital,28
45,Dehkhoda Hospital,34
46,Pasteur Hospital,20
46,Mehregan Hospital,40
46,Dehkhoda Hospital,38
47,Pasteur Hospital,31
47,Mehregan Hospital,23
47,Dehkhoda Hospital,33
48,Pasteur Hospital,31
48,Mehregan Hospital,16
48,Dehkhoda Hospital,25
49,Pasteur Hospital,40
49,Mehregan Hospital,25
49,Dehkhoda Hospital,31
50,Pasteur Hospital,25
50,Mehregan Hospital,17
50,Dehkhoda Hospital,27
51,Pasteur Hospital,31
51,Mehregan Hospital,12
51,Dehkhoda Hospital,22
52,Pasteur Hospital,47
52,Mehregan Hospital,32
52,Dehkhoda Hospital,38
53,Pasteur Hospital,56
53,Mehregan Hospital,42
53,Dehkhoda Hospital,46
54,Pasteur Hospital,10
54,Mehregan Hospital,34
54,Dehkhoda Hospital,29
55,Pasteur Hospital,33
55,Mehregan Hospital,10
55,Dehkhoda Hospital,20
56,Pasteur Hospital,35
56,Mehregan Hospital,7
56,Dehkhoda Hospital,18
57,Pasteur Hospital,24
57,Mehregan Hospital,16
57,Dehkhoda Hospital,24
59,Pasteur Hospital,35
59,Mehregan Hospital,14
59,Dehkhoda Hospital,24
60,Pasteur Hospital,34
60,Mehregan Hospital,8
60,Dehkhoda Hospital,18
61,Pasteur Hospital,40
61,Mehregan Hospital,15
61,Dehkhoda Hospital,25
62,Pasteur Hospital,46
62,Mehregan Hospital,22
62,Dehkhoda Hospital,32
63,Pasteur Hospital,49
63,Mehregan Hospital,26
63,Dehkhoda Hospital,35
64,Pasteur Hospital,34
64,Mehregan Hospital,9
64,Dehkhoda Hospital,14
65,Pasteur Hospital,25
65,Mehregan Hospital,26
65,Dehkhoda Hospital,26
66,Pasteur Hospital,39
66,Mehregan Hospital,7
66,Dehkhoda Hospital,11
67,Pasteur Hospital,29
67,Mehregan Hospital,20
67,Dehkhoda Hospital,26
68,Pasteur Hospital,43
68,Mehregan Hospital,8
68,Dehkhoda Hospital,12
69,Pasteur Hospital,45
69,Mehregan Hospital,15
69,Dehkhoda Hospital,17
70,Pasteur Hospital,35
70,Mehregan Hospital,18
70,Dehkhoda Hospital,15
71,Pasteur Hospital,36
71,Mehregan Hospital,17
71,Dehkhoda Hospital,6
72,Pasteur Hospital,39
72,Mehregan Hospital,13
72,Dehkhoda Hospital,3
73,Pasteur Hospital,49
73,Mehregan Hospital,22
73,Dehkhoda Hospital,25
74,Pasteur Hospital,55
74,Mehregan Hospital,32
74,Dehkhoda Hospital,40
75,Pasteur Hospital,24
75,Mehregan Hospital,29
75,Dehkhoda Hospital,25
76,Pasteur Hospital,53
76,Mehregan Hospital,36
76,Dehkhoda Hospital,38
77,Pasteur Hospital,39
77,Mehregan Hospital,16
77,Dehkhoda Hospital,3
78,Pasteur Hospital,42
78,Mehregan Hospital,20
78,Dehkhoda Hospital,14
79,Pasteur Hospital,43
79,Mehregan Hospital,28
79,Dehkhoda Hospital,20
80,Pasteur Hospital,52
80,Mehregan Hospital,30
80,Dehkhoda Hospital,31
81,Pasteur Hospital,31
81,Mehregan Hospital,30
81,Dehkhoda Hospital,28
82,Pasteur Hospital,34
82,Mehregan Hospital,27
82,Dehkhoda Hospital,13
83,Pasteur Hospital,33
83,Mehregan Hospital,25
83,Dehkhoda Hospital,11
84,Pasteur Hospital,35
84,Mehregan Hospital,37
84,Dehkhoda Hospital,29
85,Pasteur Hospital,35
85,Mehregan Hospital,30
85,Dehkhoda Hospital,18
86,Pasteur Hospital,35
86,Mehregan Hospital,31
86,Dehkhoda Hospital,22
87,Pasteur Hospital,34
87,Mehregan Hospital,28
87,Dehkhoda Hospital,19
88,Pasteur Hospital,34
88,Mehregan Hospital,28
88,Dehkhoda Hospital,21
89,Pasteur Hospital,34
89,Mehregan Hospital,34
89,Dehkhoda Hospital,26
90,Pasteur Hospital,46
90,Mehregan Hospital,36
90,Dehkhoda Hospital,28
91,Pasteur Hospital,43
91,Mehregan Hospital,39
91,Dehkhoda Hospital,28
92,Pasteur Hospital,41
92,Mehregan Hospital,35
92,Dehkhoda Hospital,32
93,Pasteur Hospital,38
93,Mehregan Hospital,32
93,Dehkhoda Hospital,26
94,Pasteur Hospital,38
94,Mehregan Hospital,40
94,Dehkhoda Hospital,33
95,Pasteur Hospital,40
95,Mehregan Hospital,41
95,Dehkhoda Hospital,32
96,Pasteur Hospital,41
96,Mehregan Hospital,37
96,Dehkhoda Hospital,29
97,Pasteur Hospital,51
97,Mehregan Hospital,48
97,Dehkhoda Hospital,41
99,Pasteur Hospital,47
99,Mehregan Hospital,43
99,Dehkhoda Hospital,35
100,Pasteur Hospital,53
