from_id,to_id,travel_time
22,Kowsar Hospital,33
22,Velayat Hospital,50
22,Shahid Rajayi Hospital,21
22,Bouali Sina(Avecina) Hospital,40
22,Hospital 553 of Army (Shahid Behboudi),19
22,Qods Hospital,23
22,Zakariyaye Razi Hospital,48
22, 22 Bahman Psychiatric Hospital,53
31,Kowsar Hospital,35
31,Velayat Hospital,70
31,Shahid Rajayi Hospital,50
31,Bouali Sina(Avecina) Hospital,39
31,Hospital 553 of Army (Shahid Behboudi),48
31,Qods Hospital,44
31,Zakariyaye Razi Hospital,71
31, 22 Bahman Psychiatric Hospital,11
32,Kowsar Hospital,35
32,Velayat Hospital,70
32,Shahid Rajayi Hospital,50
32,Bouali Sina(Avecina) Hospital,39
32,Hospital 553 of Army (Shahid Behboudi),48
32,Qods Hospital,44
32,Zakariyaye Razi Hospital,71
32, 22 Bahman Psychiatric Hospital,15
33,Kowsar Hospital,40
33,Velayat Hospital,76
33,Shahid Rajayi Hospital,56
33,Bouali Sina(Avecina) Hospital,42
33,Hospital 553 of Army (Shahid Behboudi),54
33,Qods Hospital,50
33,Zakariyaye Razi Hospital,76
33, 22 Bahman Psychiatric Hospital,21
36,Kowsar Hospital,29
36,Velayat Hospital,65
36,Shahid Rajayi Hospital,37
36,Bouali Sina(Avecina) Hospital,37
36,Hospital 553 of Army (Shahid Behboudi),38
36,Qods Hospital,33
36,Zakariyaye Razi Hospital,61
36, 22 Bahman Psychiatric Hospital,25
37,Kowsar Hospital,30
37,Velayat Hospital,66
37,Shahid Rajayi Hospital,46
37,Bouali Sina(Avecina) Hospital,32
37,Hospital 553 of Army (Shahid Behboudi),44
37,Qods Hospital,40
37,Zakariyaye Razi Hospital,66
37, 22 Bahman Psychiatric Hospital,19
38,Kowsar Hospital,33
38,Velayat Hospital,66
38,Shahid Rajayi Hospital,49
38,Bouali Sina(Avecina) Hospital,33
38,Hospital 553 of Army (Shahid Behboudi),50
38,Qods Hospital,46
38,Zakariyaye Razi Hospital,67
38, 22 Bahman Psychiatric Hospital,29
39,Kowsar Hospital,37
39,Velayat Hospital,62
39,Shahid Rajayi Hospital,55
39,Bouali Sina(Avecina) Hospital,36
39,Hospital 553 of Army (Shahid Behboudi),58
39,Qods Hospital,54
39,Zakariyaye Razi Hospital,68
39, 22 Bahman Psychiatric Hospital,38
40,Kowsar Hospital,45
40,Velayat Hospital,66
40,Shahid Rajayi Hospital,63
40,Bouali Sina(Avecina) Hospital,42
40,Hospital 553 of Army (Shahid Behboudi),65
40,Qods Hospital,62
40,Zakariyaye Razi Hospital,76
